Riding winner loser Conservative Liberal Independent Labour Socialist Unknown
Jacques-Cartier Monk,Frederick-Debartzch DANDURAND,Ucal-Henri 4143 3170 0 0 0 0
Joliette Dubeau,Joseph-Adélard GUILBAULT,Joseph-Alexandre 1856 2178 0 0 0 0
Kamouraska Lapointe,Ernest POTVIN,Wilfrid-Adélard 1546 1860 0 0 0 0
Kent LeBlanc,Olivier-J. Robidoux,Ferdinand-Joseph 1860 2580 0 0 0 0
Kent-East Gordon,David-Alexander STEWART,Samuel 2403 2895 0 0 0 0
Kent-West McCoig,Archibald-Blake Clements,Herbert-Sylvester 3700 3782 0 0 0 0
Kings Borden,Frederick-William EATON,Nathan-Woodworth 1991 2482 0 0 0 0
King's Fraser,Austin-Levi Hughes,James-Joseph 2672 2490 0 0 0 0
King's-and-Albert McAlister,Duncan-Hamilton Fowler,George-William 3219 3573 0 0 0 0
Kingston Harty,William Ross,Arthur-Edward 1875 2224 0 0 0 0
Kootenay Goodeve,Arthur-Samuel CURTIS,Smith 3109 2173 0 0 1337 0
L'Assomption Séguin,Paul-Arthur FORTIER,Joseph-Misael 942 1524 0 0 0 0
L'Islet Paquet,Eugène Caron,Jean-Baptiste-Thomas 1349 1184 0 0 0 0
Labelle Major,Charles-Beautron CHAUVIN,Hector 1624 2951 0 0 0 0
Lambton-East Armstrong,Joseph-Elijah FAIRBANK,Charles-Oliver 2921 2461 0 0 0 0
Lambton-West Pardee,Frederick-Forsyth LESUEUR,Richard-Esnouf 3059 3205 0 0 0 0
Lanark-North Thoburn,William Caldwell,Thomas-Boyd 1637 1631 0 0 0 0
Lanark-South Haggart,John-Graham MCKIMM,George-Fred 2108 1349 0 0 0 0
Laprairie--Napierville Lanctôt,Roch BEAUDIN,Siméon 1539 1923 0 0 0 0
Laval Wilson,Charles-Avila Léonard,Joseph-Édouard-Émile 2125 2194 0 0 0 0
Leeds Taylor,George FREDENBURGH,William-Cushing 2356 1432 0 0 0 0
Lennox-and-Addington Wilson,Uriah WARTMAN,Franklin-Secord 2452 2298 0 0 0 0
Lincoln Lancaster,Edward-Arthur WOODRUFF,Welland-Devaux 3853 3604 0 0 0 0
Lisgar Sharpe,William-Henry GREENWAY,John-Franklin 1765 1660 0 0 0 0
London Beattie,Thomas MCCANDLESS,John-Wiley 4121 0 0 0 0 2987
Lotbinière Fortier,Edmond Pelletier,Louis-Philippe 1459 2304 0 0 0 0
Lunenburg Maclean,Alexander-Kenneth MARSHALL,Carmon-Smith 3332 3533 0 0 0 0
Lévis Carrier,Louis-Auguste Bourassa,Joseph-Boutin 0 2841 0 0 0 1691
Macdonald Staples,William-D. THOMPSON,Samuel-Jacob 2990 2414 0 0 0 0
Mackenzie Cash,Edward-L. BUCHANAN,Robert 1217 2328 0 0 0 0
Macleod Herron,John MACDONALD,Allan-Ban 2935 2642 662 0 0 0
Maisonneuve Verville,Alphonse VILLENEUVE,Frédéric 0 0 2937 7358 0 0
Marquette Roche,William-James JACKSON,Malcolm-Bruce 3285 2715 0 0 0 0
Maskinongé Mayrand,Hormidas FOISY,Joseph 0 1500 0 0 0 1167
Medicine-Hat Magrath,Charles-Alexander SIMMONS,William-Charles 2922 2570 0 0 0 0
Middlesex-East Elson,Peter ROUTLEDGE,George-Albert 2369 2120 0 0 0 0
Middlesex-North Smith,Alexander-Wilson DOYLE,James-William 1779 1842 0 0 0 0
Middlesex-West Calvert,William-Samuel MCLAUCHLIN,Robert 1844 1856 0 0 0 0
Missisquoi Meigs,Daniel-Bishop Pickel,Follin-Horace 1873 1891 50 0 0 0
Montcalm Dugas,François-Octave RENAUD,Joseph-Adolphe 1256 1432 0 0 0 0
Montmagny Roy,Cyrias L'Espérance,David-Ovide 1230 1388 0 0 0 0
Montmorency Parent,Georges GOBEIL,Antoine 1073 1388 0 0 0 0
Moose-Jaw Knowles,William-Erskine WHEELER,Frank-Howard 2796 3860 0 0 0 0
Muskoka Wright,William Morrison,Angus 2248 1531 0 0 0 0
Mégantic Savoie,François-Théodore Fréchette,Louis-Israël-Côté-Alias 2365 2800 0 0 0 0
Nanaimo Smith,Ralph Shepherd,Francis-Henry 1335 1494 0 0 1312 0
New-Westminster Taylor,James-Davis JARDINE,Robert 2846 2020 0 0 0 0
Nicolet Turcotte,Gustave-Adolphe CAMIRAND,Wilfrid 2052 2718 0 0 0 0
Nipissing Gordon,George McCool,Charles-Arthur 4301 4280 0 0 0 0
Norfolk McCall,Alexander DONLY,Hal-B. 3456 3030 0 0 0 0
Northumberland Loggie,William-Stewart MORRISON,Donald 2242 3223 0 0 0 0
Northumberland-East Owen,Charles-Lewis WEBB,Frank-Leslie 2448 2252 0 0 0 0
Northumberland-West McColl,John-B. Munson,Charles-Arthur 1308 1438 0 0 0 0
Ontario-North Sharpe,Samuel-Simpson Grant,George-Davidson 2208 2008 0 0 0 0
Ontario-South Fowke,Frederick-Luther Christie,Peter 2696 2939 0 0 0 0
Ottawa-(City-of) Laurier,Wilfrid--and--McGiverin,Harold-Buchanan Birkett,Thomas 5959 6584 0 0 0 5890
Oxford-North Nesbitt,Edward-Walter QUINN,Daniel 2551 2675 0 0 0 0
Oxford-South Schell,Malcolm-Smith Sutherland,Donald 2619 2712 0 0 0 0
Parry-Sound Arthurs,James Watson,Robert-James 2932 2135 0 0 0 0
Peel Blain,Richard GRAHAM,Edward-George 2758 2469 0 0 0 0
Perth-North Rankin,James-Palmer MacLaren,Alexander-Ferguson 3473 3514 0 0 0 0
Perth-South McIntyre,Gilbert-Howard Steele,Michael 2383 2412 0 0 0 0
Peterborough-East Sexsmith,John-Albert TANNER,Edward-Alexander 1922 1540 0 0 0 0
Peterborough-West Stratton,James-Robert Burnham,John-Hampden 2518 2851 0 0 0 0
Pictou Macdonald,Edward-Mortimer Tanner,Charles-Elliott 4037 4336 0 0 0 0
Pontiac Hodgins,George-Frederick Brabazon,Gerald-Hugh 1799 2543 0 0 0 0
Portage-la-Prairie Meighen,Arthur Crawford,John 3144 2894 0 0 0 0
Portneuf Delisle,Michel-Siméon STAFFORD,Lawrence 2074 2949 153 0 0 0
Prescott Proulx,Edmond QUESNEL,Eugene-Grégoire 0 2527 1070 0 0 0
Prince Richards,James-William Lefurgey,Alfred-Alexander 3356 3520 0 0 0 0
