Riding winner loser Con Lib Independent Unknown
Lennox CARTWRIGHT,Richard-John STEVENSON, 0 1224 0 513
Lincoln MERRITT,Thomas-Rodman MCKOWINS,J. 0 1118 0 555
Lisgar SCHULTZ,John-Christian HAY,E.H.G.G. 273 0 0 128
London CARLING,John MACMAHON, 1101 0 0 797
Lotbinière Joly-de-Lotbinière,Henri-Gustave None 0 1 0 0
Lunenburg CHURCH,Charles-Edward OWENS,W.H. 0 1338 0 1205
Lévis BLANCHET,Joseph-Godric FRÉCHETTE,Louis-Honoré 1564 0 1475 0
Marquette CUNNINGHAM,Robert NORQUAY,J. 115 393 0 71
Maskinongé BOYER,Louis-Alphonse CARON,George 681 910 0 0
Middlesex-East GLASS,David EVANS, 1890 0 0 1837
Middlesex-North SCATCHERD,Thomas None 0 1 0 0
Middlesex-West ROSS,George-William MACDONALD,Augustine-Colin 1266 1322 0 7
Missisquoi BAKER,George-Barnard KAY,William-Frederic 1357 0 0 944
Monck EDGAR,James-David MCCALLUM,Lachlin 1293 1334 0 0
Montcalm DUGAS,Firmin None 1 0 0 0
Montmagny TASCHEREAU,Henri-Thomas BEAUBIEN,Joseph-Octave 594 675 0 0
Montmorency LANGLOIS,Jean LARUE,Geo. 769 0 0 327
Montreal-Centre RYAN,Michael-Patrick None 1 0 0 0
Montreal-East JETTÉ,Louis-Amable CARTIER,George-Étienne 2007 3264 0 0
Montreal-West YOUNG,John DRUMMOND,George-Alexander 0 2138 0 1322
Muskoka COCKBURN,Alexander-Peter BOULTON,D'Arcy 0 651 0 530
Mégantic RICHARD,Édouard-Émery TRIGANNE, 0 975 0 857
Napierville DORION,Antoine-Aimé COUPAL,dit-LA-REINE,Sixte 0 631 0 572
New-Westminster NELSON,Hugh None 1 0 0 0
Niagara MORRISON,Angus CURRIE,J.M. 300 0 0 298
Nicolet GAUDET,Joseph TRAHAN,N. 1423 0 0 120
Norfolk-North CHARLTON,John WALSH,Aquila 1274 1324 0 0
Norfolk-South WALLACE,William KILLMASTER,H.J. 1208 0 0 1098
Northumberland MITCHELL,Peter None 0 0 1 0
Northumberland-East KEELER,Joseph BIGGAR,James-Lyons 1515 0 1430 0
Northumberland-West COCKBURN,James None 1 0 0 0
Ontario-North GIBBS,William-Henry THOMPSON,John-Hall 1835 1620 0 0
Ontario-South GIBBS,Thomas-Nicholson White,Trueman-P. 1466 0 0 1373
Ottawa-(City-of) CURRIER,Joseph-Merrill--and--LEWIS,John-Bower 1 0 0 0
Ottawa-(County-of) WRIGHT,Alonzo None 1 0 0 0
Oxford-North OLIVER,Thomas None 0 1 0 0
Oxford-South BODWELL,Ebenezer-Vining None 0 1 0 0
Peel SMITH,Robert CAMERON,John-Hillyard 1245 1261 0 0
Perth-North DALY,Thomas-Mayne REDFORD,James 1848 1792 0 0
Perth-South TROW,James KIDD,J. 0 1683 0 1256
Peterborough-East GROVER,Peregrine-Maitland INGRAM, 804 0 0 752
Peterborough-West Bertram,John Cluxton,William 705 745 0 0
Pictou DOULL,Robert--and--MCDONALD,James CARMICHAEL,James-William 2328 2122 0 2327
Pontiac WRIGHT,William-McKay MURRAY,Thomas 1604 0 0 1323
Portneuf SAINT-GEORGES,Joseph-Esdras-Alfred-de BROUSSEAU,Jean-Docile 1128 1179 0 0
Prescott HAGAR,Albert None 0 1 0 0
Prince-Edward ROSS,Walter MCCUAIG,James-Simeon 1625 1759 0 0
Provencher Cartier,George-Étienne None 1 0 0 0
Queens FORBES,James-Fraser None 0 1 0 0
Queen's FARRIS,John None 0 1 0 0
Quebec-County CHAUVEAU,Pierre-Joseph-Olivier HEARN,M. 1415 0 0 316
Quebec-Centre CAUCHON,Joseph-Édouard ROSS,James-Gibb 0 0 964 694
Quebec-East GUILLET,dit-TOURANGEAU,Adolphe None 1 0 0 0
Quebec-West MCGREEVY,Thomas O'FARRELL,John 742 0 0 435
Renfrew-North FINDLAY,James WHITE,Peter 675 777 0 0
Renfrew-South O'REILLY,James MACDOUGALL,J. 916 645 0 0
Restigouche MOFFATT,George MCKENZIE,A. 593 0 144 25
Richelieu MATHIEU,Michel BARTHE,Georges-Isidore 1249 0 1108 0
Richmond LE-VESCONTE,Isaac KAVANAGH, 571 0 0 300
Richmond--Wolfe WEBB,William-Hoste GRAHAM,J.H. 893 0 483 389
Rimouski FISET,Jean-Baptiste-Romuald SYLVAIN,Georges 1150 1381 0 0
Rouville MERCIER,Honoré Cheval-dit-St-Jacques,Guillaume 0 1033 0 977
Russell GRANT,James-Alexander CAMERON,Malcolm 1217 952 0 0
Saint-Hyacinthe DELORME,Louis DUNN,Oscar 902 1099 0 0
Saint-Jean BOURASSA,François None 0 1 0 0
Saint-Maurice LACERTE,Elie None 1 0 0 0
Selkirk Smith,Donald-Alexander Wilson,E.A. 0 0 258 62
Shefford HUNTINGTON,Lucius-Seth THIBAULT,Chas. 0 1515 0 1149
Shelburne COFFIN,Thomas None 1 0 0 0
Sherbrooke-(Town-of) BROOKS,Edward-Towle None 1 0 0 0
Simcoe-North COOK,Herman-Henry MCCARTHY,D'Alton 1852 1908 0 0
Simcoe-South LITTLE,William-Carruthers None 1 0 0 0
Soulanges LANTHIER,Jacques-Philippe Saveuse-de-Beaujeu,Georges-Raoul-Léotale-Guichart-Humbert 759 0 0 520
Stanstead COLBY,Charles-Carroll None 1 0 0 0
Stormont ARCHIBALD,Cyril AULT,Samuel 792 828 0 0
Sunbury BURPEE,Charles None 0 1 0 0
Terrebonne MASSON,Louis-François-Rodrigue None 1 0 0 0
Toronto-Centre WILKES,Robert SHANLY,Walter 0 1216 0 1188
Toronto-East BEATTY,James O'Donohue,John 872 775 0 0
Toronto-West CRAWFORD,John McLellan,Jas.-A. 1043 0 0 574
Trois-Rivières MCDOUGALL,William None 1 0 0 0
Témiscouata MAILLOUX,Élie BERTRAND,Charles-Frédéric-Adolphe 1125 2 0 17
Vancouver HINCKS,Francis None 1 0 0 0
Vaudreuil HARWOOD,Robert GODARD, 962 0 0 727
Verchères GEOFFRION,Félix CHAPLEAU,Joseph-Adolphe 194 963 0 0
Victoria NATHAN,Henry--and--DE-COSMOS,Amor BEAVEN,R. 0 402 94 398
Victoria COSTIGAN,John BOSSÉ,H. 1141 0 0 279
Victoria ROSS,William None 0 1 0 0
Victoria-North STAPLES,Joseph MORRISON,John 629 541 0 0
Victoria-South DORMER,George MCLENNAN, 1228 0 0 1070
Waterloo-North BOWMAN,Isaac-Erb None 0 1 0 0
Waterloo-South YOUNG,James None 0 1 0 0
Welland STREET,Thomas-Clark HILL,A.G. 1590 0 0 1060
Wellington-Centre ROSS,James ORTON,George-Turner 1388 1434 0 0
Wellington-North HIGINBOTHAM,Nathaniel DREW,George-Alexander 1204 1264 0 0
Wellington-South STIRTON,David None 0 1 0 0
Wentworth-North BAIN,Thomas MCKECHNIE,R. 0 1145 0 1040
Wentworth-South RYMAL,Joseph BETHUNE,A. 0 1203 0 995
Westmorland SMITH,Albert-James None 0 1 0 0
Yale DEWDNEY,Edgar SMITH,Robt. 43 0 0 19
Yamaska DUGUAY,Joseph MIGNAULT,Roch-Moïse-Samuel 1047 643 0 0
Yarmouth KILLAM,Frank TOWNSEND,W.H. 0 1176 0 440
York PICKARD,John None 0 0 1 0
York-East METCALFE,James None 0 1 0 0
York-North DODGE,Anson-Green-Phelps PARNHAM,J. 1769 0 0 1490
York-West BLAIN,David TYRRELL,W. 0 973 0 760
