Riding winner loser Conservative Liberal Independent Unknown
Addington Shibley,Schuyler WAGGONER, 1275 0 0 982
Albert Wallace,John CALHOUN, 0 810 0 760
Algoma Borron,Edward-Barnes SCOTT,W.J. 0 436 0 258
Annapolis Ray,William-Hallett CHESLEY,T.W. 0 878 0 220
Antigonish McIsaac,Angus None 0 1 0 0
Argenteuil Abbott,John-Joseph-Caldwell Cushing,Lemuel 731 0 0 727
Bagot Mousseau,Joseph-Alfred BOURGEOIS,J.B. 1163 0 0 1120
Beauce Pozer,Christian-Henry None 0 1 0 0
Beauharnois Robillard,Ulysse-Janvier BRANCHAUD,M. 314 0 711 346
Bellechasse Fournier,Télesphore None 0 1 0 0
Berthier Pâquet,Anselme-Homère None 0 1 0 0
Bonaventure Robitaille,Théodore TREMBLAY,M. 1063 0 0 742
Bothwell Mills,David DOBBYN, 0 1600 0 1137
Brant-North Fleming,Gavin None 0 1 0 0
Brant-South Paterson,William WATTS,A. 0 1463 0 1019
Brockville Buell,Jacob-Dockstader Crawford,James 868 910 0 0
Brome Pettes,Nathaniel None 0 1 0 0
Bruce-North Gillies,John None 0 1 0 0
Bruce-South Blake,Edward BAIRD,R. 0 2312 0 1991
Cape-Breton McDonald,William--and--Mackay,Newton-LeGayet McLeod,Hugh 1251 1136 0 1108
Cardwell Cameron,John-Hillyard BOWLES,Thomas 1204 0 0 1140
Cariboo Thompson,Joshua-Spencer WALKER,S. 192 0 0 40
Carleton Appleby,Stephen-Burpee None 0 1 0 0
Carleton Rochester,John Holmes,John 870 0 0 631
Chambly Jodoin,Amable Benoit,Pierre-Basile 742 848 0 0
Champlain Montplaisir,Hippolyte TRUDEL,R. 1063 0 0 1052
Charlevoix Tremblay,Pierre-Alexis Chauveau,Pierre-Joseph-Olivier 1104 1377 0 0
Charlotte Gillmor,Arthur-Hill McAdam,John 1222 1518 0 0
Chicoutimi--Saguenay Cimon,Marie-Honorius-Ernest HUDON, 1145 0 0 743
Châteauguay Holton,Luther-Hamilton TANTONE,J. 0 911 0 519
St.John-(City-and-County-of) Burpee,Isaac--and--Palmer,Acalus-Lockwood Ellis,John-Valentine 0 2826 0 1561
St.John-(City-of) DeVeber,Jeremiah-Smith-Boies DAY,G.W. 0 1772 0 591
Colchester McKay,Thomas Pearson,Frederick-M. 1429 1313 0 0
Compton Pope,John-Henry CAIRNS,H.E. 1387 0 0 535
Cornwall Macdonald,Alexander-Francis Bergin,Darby 448 471 0 0
Cumberland Tupper,Charles HIBBARD,G. 1580 0 0 1201
Deux-Montagnes Prévost,Wilfrid WATTS,J. 0 725 0 670
Digby Oakes,Edwin-Randolph Savary,Alfred-William 1168 0 0 631
Dorchester Rouleau,François-Fortunat MARCEAU,E.H. 895 0 0 874
Drummond--Arthabaska Laurier,Wilfrid TESSIER, 0 778 0 700
Dundas Gibson,William MERKLEY,H.G. 0 0 1389 1316
Durham-East Ross,Lewis BEAMISH, 0 1373 0 722
Durham-West Wood,Edmund-Burke BRIEN,M. 0 1281 0 736
Elgin-East Harvey,William DAY,S. 0 1886 0 1704
Elgin-West Casey,George-Elliott GUSTIN,E.W. 0 1216 0 891
Essex McGregor,William O'Connor,John 0 2508 0 1763
Frontenac Kirkpatrick,George-Airey CARTWRIGHT, 1172 0 0 696
Gaspé Harper,Louis-George LEBOUTHILLIER,Horatio 545 0 0 500
Glengarry Macdonald,Donald-Alexander GRANT,A.J. 0 1288 0 612
Gloucester Anglin,Timothy-Warren None 0 1 0 0
Grenville-South Brouse,William-Henry Shanly,Walter 995 1106 0 0
Grey-East Flesher,William-Kingston MCKNIGHT,R. 1566 0 0 1121
Grey-North Snider,George Lane,Samuel-Johnathan 0 1320 0 1241
Grey-South Landerkin,George PREBBLE, 0 1248 0 863
Guysborough Kirk,John-Angus Campbell,Stewart 544 759 0 0
Haldimand Thompson,David None 0 1 0 0
Halifax Power,Patrick--and--Jones,Alfred-Gilpin ROBB,G. 0 0 3186 834
Halton Chisholm,Daniel-Black White,John 1464 1441 0 0
Hamilton Wood,Andrew-Trew--and--Irving,Aemilius O'REILLY, 1515 2086 0 1518
Hants Goudge,Monson-Henry Allison,William-Henry 1341 1433 0 0
Hastings-East White,John HOLDEN,T. 1049 0 0 978
Hastings-North Bowell,Mackenzie FLYN,O. 847 0 0 752
Hastings-West Brown,James WILLS,T. 414 0 0 49
Hochelaga Desjardins,Alphonse None 1 0 0 0
Huntingdon Scriver,Julius CROSS,A. 0 876 0 48
Huron-Centre Horton,Horace CRABB,C. 0 1510 0 730
Huron-North Farrow,Thomas LECKIE, 1655 0 0 1510
Huron-South Cameron,Malcolm-Colin Greenway,Thomas 0 1522 1436 0
Iberville Béchard,François None 0 1 0 0
Inverness McDonnell,Samuel Cameron,Hugh 1102 1223 0 0
Jacques-Cartier Laflamme,Toussaint-Antoine-Rodolphe None 0 1 0 0
Joliette Baby,Louis-François-Georges BEAUPRÉ,A. 924 0 0 879
Kamouraska Pelletier,Charles-Alphonse-Pantaléon None 0 1 0 0
Kent McLeod,George Renaud,Auguste 0 1072 1570 0
Kent Stephenson,Rufus STRIPP,Wm.-S. 1895 0 0 1823
King's Domville,James MCCREADY,J.E.B. 1651 0 1389 0
Kings Borden,Frederick-William Chipman,Leverett-de-Veber 0 1043 0 945
King's-County Davies,Daniel--and--McIntyre,Peter-Adolphus Macdonald,Augustine-Colin 1704 1530 0 1496
Kingston Macdonald,John-Alexander CARRUTHERS,John 839 0 0 801
L'Assomption Hurteau,Hilaire FORREST,L. 879 0 0 818
L'Islet Casgrain,Philippe-Baby None 0 1 0 0
Lambton Mackenzie,Alexander None 0 1 0 0
Lanark-North Galbraith,Daniel None 0 1 0 0
Lanark-South Haggart,John-Graham GOULD,John-Henry 1318 0 0 889
Laprairie Pinsonneault,Alfred None 1 0 0 0
Laval Ouimet,Joseph-Aldéric None 1 0 0 0
Leeds-North-and-Grenville-North Ferguson,Charles-Frederick Jones,Francis 918 0 0 785
Leeds-South Jones,David-Ford FREDENBURGH,W.H. 1602 0 0 1599
Lennox Cartwright,Richard-John None 0 1 0 0
