Riding winner loser Conservative Liberal Independent Unknown
Lincoln Norris,James CLARK,T. 0 1493 0 1338
Lisgar Schultz,John-Christian HAY,E.H.G.G. 285 0 0 216
London Walker,John Carling,John 1208 1269 0 0
Lotbinière Bernier,Henri HOULE,L.G. 0 776 0 288
Lunenburg Church,Charles-Edward None 0 1 0 0
Lévis Fréchette,Louis-Honoré CHABOT,J. 0 1670 1572 0
Marquette Cunningham,Robert Ryan,Joseph-O'Connell 0 393 0 351
Maskinongé Boyer,Louis-Alphonse Caron,George 607 764 0 0
Middlesex-East Willson,Crowell Glass,David 1977 0 0 1933
Middlesex-North Scatcherd,Thomas None 0 1 0 0
Middlesex-West Ross,George-William None 0 1 0 0
Missisquoi Donahue,William None 0 1 0 0
Monck McCallum,Lachlin Edgar,James-David 1354 1320 0 0
Montcalm Dugas,Firmin None 1 0 0 0
Montmagny Taschereau,Henri-Thomas None 0 1 0 0
Montmorency Langlois,Jean None 1 0 0 0
Montreal-Centre Ryan,Michael-Patrick Devlin,Bernard 2140 1782 0 0
Montreal-East Jetté,Louis-Amable None 0 1 0 0
Montreal-West Mackenzie,Frederick STEVENSON,A.A. 0 2036 0 1442
Muskoka Cockburn,Alexander-Peter TEVIOTDALE,J. 0 876 0 567
Mégantic Richard,Édouard-Émery REED,J. 0 1003 0 621
Napierville Dorion,Antoine-Aimé Coupal-dit-La-Reine,Sixte 0 731 0 542
New-Westminster Cunningham,James Homer,Joshua-Attwood-Reynolds 142 162 0 0
Niagara Plumb,Josiah-Burr CURRIE,J.M. 336 0 0 306
Nicolet Gaudet,Joseph DAVID,G. 1290 0 0 951
Norfolk-North Charlton,John Tisdale,David 0 1434 0 1264
Norfolk-South Stuart,John Lawson,Peter 0 1233 0 1140
Northumberland Mitchell,Peter Snowball,Jabez-Bunting 0 0 1312 820
Northumberland-East Biggar,James-Lyons Keeler,Joseph 1497 0 1662 0
Northumberland-West Kerr,William Cockburn,James 1105 1336 0 0
Ontario-North Gordon,Adam Gibbs,William-Henry 1712 1804 0 0
Ontario-South Cameron,Malcolm Gibbs,Thomas-Nicholson 1488 1639 0 0
Ottawa-(City-of) Currier,Joseph-Merrill--and--St-Jean,Pierre AUMAND, 1458 1213 0 1101
Ottawa-(County-of) Wright,Alonzo MACKAY,F.S. 1783 0 0 716
Oxford-North Oliver,Thomas WOOD,J.H. 0 1866 0 655
Oxford-South Bodwell,Ebenezer-Vining THRALL,Dr. 0 981 0 223
Peel Smith,Robert ELLIOTT, 1285 1299 0 0
Perth-North Monteith,Andrew Redford,James 1992 1829 0 0
Perth-South Trow,James None 0 1 0 0
Peterborough-East Hall,James ROGERS,R.D. 0 993 0 879
Peterborough-West Bertram,John SCOTT,W.H. 0 892 0 801
Pictou Carmichael,James-William--and--Dawson,John-A. Doull,Robert 2123 2178 0 2124
Pontiac Wright,William-McKay None 1 0 0 0
Portneuf de-Saint-Georges,Joseph-Esdras-Alfred Belleau,Isidore-Noël 1086 1421 0 0
Prescott Hagar,Albert-Peter White,Thomas 0 665 0 659
Prince-County Yeo,James--and--Perry,Stanislaus-Francis RAMSAY,John 0 2188 0 669
Prince-Edward Ross,Walter McCuaig,James-Simeon 1649 1775 0 0
Provencher Riel,Louis HAMELIN,J. 0 0 195 69
Queens Forbes,James-Fraser None 0 1 0 0
Queen's-County Laird,David--and--Sinclair,Peter 0 2 0 0
Queen's Ferris,John COY,Amasa 0 621 0 135
Quebec-County Caron,Adolphe-Philippe None 1 0 0 0
Quebec-Centre Cauchon,Joseph-Édouard None 0 1 0 0
Quebec-East Thibaudeau,Isidore None 0 1 0 0
Quebec-West McGreevy,Thomas O'FARRELL,J. 587 0 0 403
Renfrew-North White,Peter Murray,Thomas 600 498 0 328
Renfrew-South McDougall,John-Lorn Bannerman,William 668 738 0 0
Restigouche Moffat,George None 1 0 0 0
Richelieu Barthe,Georges-Isidore Mathieu,Michel 1119 0 1320 0
Richmond Flynn,Edmund-Power BENOIT,R. 0 564 0 486
Richmond--Wolfe Aylmer,Henry Webb,William-Hoste 949 1111 0 10
Rimouski Fiset,Jean-Baptiste-Romuald LETENDRE,A.P. 0 1728 0 354
Rouville Cheval-dit-St-Jacques,Guillaume Gigault,Georges-Auguste 73 812 0 0
Russell Blackburn,Robert Grant,James-Alexander 1014 1078 0 95
Saint-Hyacinthe Delorme,Louis None 0 1 0 0
Saint-Jean Bourassa,François None 0 1 0 0
Saint-Maurice Lajoie,Charles-Gérin Lacerte,Élie 521 575 0 0
Selkirk Smith,Donald-Alexander Bannatyne,Andrew-Graham-Ballenden 0 225 329 0
Shefford Huntington,Lucius-Seth Curran,John-Joseph 0 1618 0 1172
Shelburne Coffin,Thomas None 0 1 0 0
Sherbrooke-(Town-of) Brooks,Edward-Towle None 1 0 0 0
Simcoe-North Cook,Herman-Henry McCarthy,D'Alton 2125 2279 0 0
Simcoe-South Little,William-Carruthers 1 0 0 0
Soulanges Lantier,Jacques-Philippe None 1 0 0 0
Stanstead Colby,Charles-Carroll None 1 0 0 0
Stormont Archibald,Cyril CRYSLER,J. 0 905 0 797
Sunbury Burpee,Charles PERLEY,W. 0 556 0 495
Terrebonne Masson,Louis-François-Rodrigue None 1 0 0 0
Toronto-Centre Wilkes,Robert Morrison,Angus 0 1509 0 1225
Toronto-East O'Donohoe,John COATSWORTH,E. 0 1289 0 1152
Toronto-West Moss,Thomas Robinson,John-Beverley 1440 1651 0 0
Trois-Rivières McDougall,William Bunan,J.N. 451 0 0 126
Témiscouata Pouliot,Jean-Baptiste None 0 1 0 0
Vancouver Bunster,Arthur ANDERSON,A.C. 0 209 0 84
Vaudreuil Harwood,Robert-William None 1 0 0 0
Verchères Geoffrion,Félix BARNARD,E. 0 924 0 563
Victoria De-Cosmos,Amor--and--Roscoe,Francis-James MORTON,C. 0 308 304 299
Victoria Costigan,John BERNIER,X. 868 0 0 429
Victoria Ross,William None 0 1 0 0
Victoria-North Maclennan,James Cameron,Hector 560 564 0 0
Victoria-South McQuade,Arthur MCLENNAN,J. 1292 0 0 1223
Waterloo-North Bowman,Isaac-Erb None 0 1 0 0
Waterloo-South Young,James None 0 1 0 0
Welland Thomson,William-Alexander BROOKFIELD,E.W. 0 1682 0 1493
Wellington-Centre Orton,George-Turner MCKINE,R. 1530 0 0 1481
Wellington-North Higinbotham,Nathaniel Drew,George-Alexander 1464 1470 0 0
Wellington-South Stirton,David HATCH,H. 0 1667 0 468
Wentworth-North Bain,Thomas None 0 1 0 0
Wentworth-South Rymal,Joseph BULL,H.B. 875 1184 0 0
Westmorland Smith,Albert-James None 0 1 0 0
Yale Dewdney,Edgar CHISHOLM,D. 89 0 0 20
Yamaska Gill,Charles-Ignace 1 0 0 0
Yarmouth Killam,Frank BROWN,G.S. 0 1192 0 762
York Pickard,John None 0 0 1 0
York-East Metcalfe,James None 0 1 0 0
York-North Dymond,Alfred-Hutchinson THORNE,W.H. 0 1854 0 1516
York-West Blain,David Wallace,Nathaniel-Clarke 456 983 0 0
