Riding winner loser Conservative Liberal Independent Unknown
Alberta-(Provisional-District) Herron,John MCKENZIE,Malcolm 1755 1677 0 0
Algoma-East Dyment,Albert-Edward TURNER,Byron-H. 2120 2698 0 0
Algoma-West Boyce,Arthur-Cyril KEHOE,J.J. 1675 1580 0 0
Annapolis Pickup,Samuel-Walter-Willet SHAFFNER,Lawrence-D. 1794 2013 0 0
Antigonish McIsaac,Colin-Francis Cameron,Hugh 810 1619 0 0
Argenteuil Perley,George-Halsey Christie,Thomas 1516 1340 0 0
Assiniboia-East Turriff,John-Gillanders BRIGHAM,J.R. 3036 3770 0 0
Assiniboia-West Scott,Thomas-Walter ANNABLE,G.M. 2865 3647 0 0
Bagot Marcile,Joseph-Edmond LAJOIE,François-Xavier 1489 1832 0 0
Beauce Béland,Henri-Sévérin SAVARD,E.M.A. 1311 3601 0 0
Beauharnois Bergeron,Joseph-Gédéon-Horace Loy,George-di-Madeiros 2075 1828 0 0
Bellechasse Talbot,Onésiphore-Ernest FRADETTE,J.B. 957 1819 0 0
Berthier Archambault,Joseph-Éloi MICHAUD,T. 1498 1707 0 0
Bonaventure Marcil,Charles CROCKETT,Thomas 1388 2280 0 0
Brandon Sifton,Clifford Richardson,Robert-Lorne 0 3625 2804 0
Brant Paterson,William LUDLOW,Adam-George 0 1628 0 1158
Brantford Cockshutt,William-Foster Heyd,Charles-Bernhard 2383 2368 0 0
Brockville Derbyshire,Daniel Culbert,John 2013 2217 0 0
Brome Fisher,Sydney-Arthur STEVENS,E.P. 941 1821 0 0
Bruce-North Bland,Leonard-Thomas CAMPBELL,J.E. 2832 2725 0 0
Bruce-South McKenzie,Peter-H. Donnelly,James-J. 2938 3082 0 0
Calgary McCarthy,Maitland-Stewart STEWART,Charles-John 2993 2545 0 0
Cape-Breton-South Johnston,Alexander McKay,William 3154 3459 0 869
Carleton Carvell,Frank-Broadstreet Hale,Frederick-Harding 2388 2662 0 0
Carleton Kidd,Edward CALDWELL,James-Ernest 2055 1178 0 0
Chambly--Verchères Geoffrion,Victor ARCHAMBAULT,J.B. 1961 2493 0 0
Champlain Rousseau,Jeffrey-Alexandre Marcotte,François-Arthur 2623 2934 0 0
Charlevoix Forget,Joseph-David-Rodolphe Angers,Louis-Charles-Alphonse 1684 1601 0 0
Charlotte Ganong,Gilbert-White Gillmor,Daniel 2574 2320 0 0
Chicoutimi--Saguenay Girard,Joseph Savard,Edmond 4448 0 2857 0
Châteauguay Brown,James-Pollock BRYSON,John-George 906 1370 0 0
St.-John-(City-and-County-of) Stockton,Alfred-Augustus MCKEOWN,Harrison-A. 5601 4964 0 0
St.-John-(City-of-) Daniel,John-Waterhouse O'BRIEN,Richard 4881 3670 0 0
Colchester Laurence,Frederick-Andrew Gourley,Seymour-Eugene 2419 2610 0 0
Comox--Atlin Sloan,William None 0 1 0 0
Compton Hunt,Aylmer-Byron Pope,Rufus-Henry 2440 2735 0 0
Cumberland Logan,Hance-James ROGERS,T.-Sherman 3829 4535 0 0
Dauphin Burrows,Theodore-Arthur None 0 1 0 0
Deux-Montagnes Éthier,Joseph-Arthur-Calixte FAUTEUX,George-N. 1333 1460 0 0
Digby Copp,Albert-James-Smith GRINSON,John-Arthur 1096 1840 105 0
Dorchester Morin,Jean-Baptiste Vaillancourt,Cyrille-Émile 1773 0 0 0
Drummond--Arthabaska Lavergne,Louis MONTPLAISIR,Stanislas 1277 3753 0 0
Dufferin Barr,John PARK,John 2100 0 0 814
Dundas Broder,Andrew CHAMBERLAIN,Theodore-F. 2366 1945 0 0
Durham Ward,Henry-Alfred Aylesworth,Allen-Bristol 3322 3173 0 0
Edmonton Oliver,Frank SECORD,Richard 1526 3535 0 0
Elgin-East Ingram,Andrew-B. HEPBURN,Wm.-F. 2103 2082 0 0
Elgin-West Jackson,William STEWART,Peter 3082 2695 0 0
Essex-North MCIVER,Bryan HANNA,James-Wesley 2669 3037 0 0
Essex-South Clarke,Alfred-Henry Wigle,Lewis 2780 3193 0 0
Frontenac Avery,Melzar SHIBLEY,Wellington-J. 2341 2020 0 0
Gaspé Lemieux,Rodolphe None 0 1 0 0
