Riding winner loser Conservative Liberal Independent Unknown
Glengarry Schell,Jacob-Thomas MCDONALD,Donald-Robt. 1899 2349 0 0
Gloucester Turgeon,Onésiphore Blanchard,Théotime 1539 2705 0 0
Grenville Reid,John-Dowsley EDWARDS,John 2239 1607 0 0
Grey-East Sproule,Thomas-Simpson HARTMAN,Clayton-W. 2209 1527 0 0
Grey-North Telford,William-Pattison Thomson,Thomas-Inkerman 2952 2975 0 0
Grey-South Miller,Henry-Horton MCKINNON,Charles 1911 2227 0 0
Guysborough Sinclair,John-Howard WELLS,John-S. 1492 2040 0 0
Haldimand Lalor,Francis-Ramsey Thompson,Andrew-Thorburn 2548 2289 0 0
Halifax Roche,William--and--Carney,Michael Borden,Robert-Laird 6830 7430 0 6472
Halton Henderson,David DEACON,John-S. 2288 0 0 2148
Hamilton-East Barker,Samuel EASTWOOD,John-M. 2786 2580 0 0
Hamilton-West Zimmerman,Adam Bruce,Francis-Carmichael 3108 3345 0 0
Hants Black,Judson-Burpee HANRIGHT,Fred.-W. 1957 2033 0 0
Hastings-East Northrup,William-Barton DEROCHE,Georges-E. 2961 0 0 2633
Hastings-West Porter,Edward-Guss LOTT,Byron-O. 3240 2361 0 0
Hochelaga Rivet,Louis-Alfred-Adhémar BERNARD,A.A. 4381 4974 0 0
Humboldt Adamson,Alan-Joseph CRAIG,Charles 581 1218 0 0
Huntingdon Walsh,Robert-Nelson Maclaren,William-Scott 1274 1131 0 0
Huron-East Chisholm,Thomas MCDONALD,Peter 2189 2005 0 0
Huron-South Gunn,Benjamin-B. FRASER,Thomas 2532 2421 0 0
Huron-West Lewis,Edward-Norman Holmes,Robert 2263 2150 0 0
Inverness McLennan,Angus Chisholm,Alexander-William 1485 1963 1653 0
Jacques-Cartier Monk,Frederick-Debartzch Boyer,Louis-Alphonse 3095 2755 0 0
Joliette Dubeau,Joseph-Adélard RENAUD,Joseph-Adolphe 1752 1972 0 0
Kamouraska Lapointe,Ernest LANGLOIS,Jules 1419 1635 0 0
Kent LeBlanc,Olivier-J. McInerney,George-Valentine 1979 2078 138 0
Kent-East Gordon,David-Alexander WILSON,Benjamin-W. 2476 2848 0 0
Kent-West Clements,Herbert-Sylvester Stephens,George 3652 3531 0 0
Kings Borden,Frederick-William RYAN,J.W. 1427 2594 0 0
King's Hughes,James-Joseph McLean,John 2596 2653 0 0
King's-and-Albert Fowler,George-William WHITE,Albert-S. 3653 3294 0 0
Kingston Harty,William GASKIN,John 1735 2267 0 55
Kootenay Galliher,William-Alfred Mackintosh,Charles-Herbert 1784 2551 0 622
L'Assomption Laurier,Romuald-Charlemagne None 0 1 0 0
L'Islet Paquet,Eugène Carbonneau,Onésiphore 1195 1038 0 0
Labelle Bourassa,Joseph-Henri-Napoléon DUGAL,G.-Alphonse 1147 2640 399 0
Lambton-East Armstrong,Joseph-Elijah COWAN,James 3026 2565 0 0
Lambton-West Johnston,Thomas-George Clancy,James 2952 3399 0 0
Lanark-North Caldwell,Thomas-Boyd Preston,Richard-Franklin 1656 1709 0 0
Lanark-South Haggart,John-Graham DWYER,Andrew-W. 2075 1185 0 0
Laprairie--Napierville Lanctôt,Roch COUPAL,Maximilien 1561 1797 0 0
Laval Léonard,Joseph-Édouard-Émile PAQUETTE,C. 1842 1798 0 0
Leeds Taylor,George GIBSON,W.J. 2175 1506 0 0
Lennox-and-Addington Wilson,Uriah KEECH,Hiram 2650 2161 0 0
Lincoln Lancaster,Edward-Arthur LOVELACE,E.J. 3558 3240 0 0
Lisgar Greenway,Thomas Sharpe,William-Henry 1477 1657 0 0
London Hyman,Charles-Smith Gray,William 4278 4302 0 0
Lotbinière Fortier,Edmond BERGERON,Napoléon 799 1670 0 0
Lunenburg Maclean,Alexander-Kenneth Kaulbach,Charles-Edwin 2822 3274 0 0
Lévis Demers,Louis-Julien LAVERY,Joseph-Isaac 1677 2642 0 0
Macdonald Staples,William-D. RIDDELL,Jas. 2737 2147 0 0
Mackenzie Cash,Edward-L. PATRICK,T.A. 556 1933 6 0
Maisonneuve Préfontaine,Joseph-Raymond-Fournier VALLIÈRES,S.D. 3795 5967 0 0
Marquette Roche,William-James HEAD,Sampson-Leslie 2594 2521 0 0
Maskinongé Mayrand,Hormidas COMEAU,J.-Alphonse 1188 1480 0 22
Middlesex-East Elson,Peter MCEVOY,John-Millar 2297 2078 0 0
Middlesex-North Ratz,Valentine Boston,Robert 0 1894 0 1598
Middlesex-West Calvert,William-Samuel STEWART,George-A. 1790 1996 0 0
Missisquoi Meigs,Daniel-Bishop COMEAU,J.B. 1714 1848 0 0
Montcalm Dugas,François-Octave MARION,J.E.E. 1079 1227 0 0
Montmagny La-Vergne,Armand-Renaud PRICE,Henry-E. 1164 1222 0 0
Montmorency Parent,Georges Casgrain,Thomas-Chase 1035 1292 0 0
Muskoka Wright,William Marshall,Duncan-McLean 2121 1653 0 0
Mégantic Savoie,François-Théodore Fréchette,Louis-Israël-Côté-Alias 1950 2453 0 0
Nanaimo Smith,Ralph WOLLEY, 1105 1392 0 717
New-Westminster Kennedy,James-Buckham Taylor,James-Davis 1762 1866 0 0
Nicolet Lemieux,Rodolphe Ball,Georges 2356 2698 0 0
Nipissing McCool,Charles-Arthur Gordon,George 2559 2747 0 0
Norfolk Tisdale,David DOULY,Hal-B. 3336 3150 0 0
Northumberland Loggie,William-Stewart Robinson,James 2304 2589 0 0
Northumberland-East Cochrane,Edward DOUGLAS,John-H. 2402 2196 0 0
Northumberland-West McColl,John-B. ARMOUR,Eric-Norman 1357 1501 0 0
Ontario-North Grant,George-Davidson PROCTOR,George-A. 2023 2161 0 0
Ontario-South Christie,Peter Ross,William 2544 2439 0 0
Ottawa-(City-of) Belcourt,Napoléon-Antoine--and--Stewart,Robert Birkett,Thomas 4818 6275 0 4547
Oxford-North Sutherland,James WALLACE,James-G. 1266 2768 0 0
Oxford-South Schell,Malcolm-Smith HENDERSON,J.C. 2070 2565 0 0
Parry-Sound Watson,Robert-James FREEBORN,James-S. 2035 2410 0 0
Peel Blain,Richard MILNER,W.E. 2640 2524 0 0
Perth-North MacLaren,Alexander-Ferguson MABEE,James-P. 3618 3298 0 0
Perth-South McIntyre,Gilbert-Howard Steele,Michael 2310 2454 0 0
Peterborough-East Finlay,John Sexsmith,John-Albert 1518 1588 0 0
Peterborough-West Hall,Robert-Richard Kendry,James 2280 2467 0 0
Pictou Macdonald,Edward-Mortimer Bell,Adam-Carr 3716 4148 0 0
Pontiac Brabazon,Gerald-Hugh Hodgins,George-Frederick 2001 1906 0 0
Portage-la-Prairie Crawford,John Boyd,Nathaniel 2663 3048 0 0
Portneuf Delisle,Michel-Siméon VOISARD,T.E. 2026 2630 0 101
Prescott Proulx,Edmond CHARBONNEAU,L. 1323 2388 0 0
Prince Lefurgey,Alfred-Alexander Richards,James-William 3501 3408 0 0
Prince-Edward Alcorn,George-Oscar ROSE, 2253 2107 0 0
Provencher Cyr,Joseph-Ernest LaRivière,Alphonse-Alfred-Clément 1886 1896 0 0
Qu'Appelle Lake,Richard-Stuart Thomson,Levi 2830 2802 0 0
Queen's McLean,Angus-Alexander--and--Martin,Alexander Prowse,Lemuel-Ezra 4522 4286 0 4094
Quebec-County Fitzpatrick,Charles PAGEOT,J.P.H. 271 2445 0 0
Quebec-Centre Malouin,Arthur-Cyrille-Albert VERGE,Wm.-Alex. 0 1809 0 1012
Quebec-Est Laurier,Wilfrid FISET,Michel 1415 3524 0 0
Quebec-Ouest Power,William STAFFORD,Lawrence 660 1053 0 0
Renfrew-North White,Peter Mackie,Thomas 2495 2275 0 0
Renfrew-South Wright,Aaron-Abel MCKAY,John 1980 2168 0 0
Restigouche Reid,James MOTT,Wm.-Albert 836 1274 0 0
Richelieu Bruneau,Arthur-Aimé LECLAIRE,L.B.J. 1769 2081 0 0
Richmond Finlayson,Duncan Gillies,Joseph-Alexander 868 1270 0 20
Richmond--Wolfe Tobin,Edmund-William O'BRADY,Moïse 2516 3689 0 0
Rimouski Ross,Jean-Auguste Price,William 3006 3272 0 0
Rouville Brodeur,Louis-Philippe NADEAU,J.A. 999 1671 0 0
Russell Wilson,Norman-Frank ASKWITH,John-E. 2357 3305 66 0
Saint-Antoine Ames,Herbert-Brown LYALL,P. 3342 2692 0 0
Saint-Hyacinthe Beauparlant,Aimé-Majorique TACHÉ,Joseph-de-la-Broquerie 1680 2204 0 0
Saint-Jacques Gervais,Honoré-Hippolyte-Achille CARDINAL,J.T. 2291 3648 0 0
Saint-Jean--Iberville Demers,Louis-Philippe LAVOIE,Joseph 614 2363 0 0
Saint-Laurent Bickerdike,Robert LANE,C. 2632 3282 0 0
Saint-Anne Gallery,Daniel MORRISON,M.J. 2165 2895 0 0
Saint-Marie Piché,Camille Maréchal,L.T. 3131 21690 0 0
Saskatchewan-(Provisional-District) Lamont,John-Henderson McKay,Thomas 1347 2183 0 0
Selkirk Jackson,Samuel-Jacob COLEMAN,W.W. 1607 2104 0 0
Shefford Parmelee,Charles-Henry HAYES,Peter-Munroe 1730 2347 0 0
Shelburne-and-Queen's Fielding,William-Stevens RITCHIE,James-J. 1917 2302 0 0
Sherbrooke-(Town-of) Worthington,Arthur-Norreys KNIGHT,Charles-Cair 1875 1749 0 0
Simcoe-East Bennett,William-Humphrey GUNN,Ronald-David 3116 2743 0 0
Simcoe-North McCarthy,Leighton-Goldie Currie,John-Allister 2444 0 2486 0
Simcoe-South Lennox,Haughton HENRY,William-C. 1702 1643 0 0
Soulanges Bourbonnais,Augustin SÉGUIN,Ludger 839 1063 0 0
Souris Schaffner,Frederick-Laurence PATERSON,George 3123 2603 0 0
Stanstead Lovell,Henry HACKETT,Michael-Felix 1693 1966 0 0
Stormont Pringle,Robert-Abercrombie Smith,Robert 2700 2589 0 0
Strathcona Talbot,Peter BUSH,O. 1878 3863 0 130
Sunbury--Queen's Wilmot,Robert-Duncan FRAY,Hugh-Burns 1917 1799 0 0
Terrebonne Desjardins,Samuel Nantel,Wilfrid-Bruno 2297 2481 0 0
Thunder-Bay-and-Rainy-River Conmee,James MARKS,George-T. 1734 2162 0 638
Toronto-Centre Clarke,Edward-Frederick ROBINETTE,T.C. 4320 3935 0 0
Toronto-East Kemp,Albert-Edward LESLIE,John-Knox 4125 1993 0 0
Toronto-North Foster,George-Eulas URQUHART,Thomas 4422 4310 0 0
Toronto-South Macdonell,Angus-Claude DEWART,H.H. 3501 3092 0 0
Toronto-West Osler,Edmund-Boyd HUNTER,Alfred-Taylour 4464 2573 0 0
Trois-Rivières-et-Saint-Maurice Bureau,Jacques DUPLESSIS,Nérée-L. 2270 2667 0 0
Témiscouata Gauvreau,Charles-Arthur Grandbois,Paul-Étienne 1800 2752 0 0
Vancouver-City Macpherson,Robert-George ELLIS,R.B. 2080 2938 0 741
Vaudreuil Boyer,Gustave-Benjamin BASTIEN,François-de-Sales-Alphonse 825 1297 0 0
Victoria Costigan,John MANZER,Judson-C. 988 2176 0 0
Victoria Hughes,Samuel MCLAUGHLIN,R.J. 4085 0 0 3782
Victoria-City Riley,George Prior,Edward-Gawler 1192 1692 0 336
North-Cape-Breton-and-Victoria McKenzie,Daniel-Duncan McCormick,John 2519 2583 0 0
Waterloo-North Seagram,Joseph-Emm CLEMENT,Edwin-P. 2769 2463 0 0
Waterloo-South Clare,George-Adam LAIRD,George 2785 2420 0 0
Welland German,William-Manley UPPER,Walter 0 3543 2621 0
Wellington-North Martin,Thomas McGowan,John 2541 2849 0 0
Wellington-South Guthrie,Hugh Kloepfer,Christian 3315 3694 0 0
Wentworth Smith,Ernest-D'Israeli Sealey,William-Oscar 2899 2889 0 0
Westmorland Emmerson,Henry-Robert Powell,Henry-Absalom 3747 4693 0 0
Winnipeg Bole,David-Wesley EVANS,W.S. 4032 4308 0 1290
Wright Laurier,Wilfrid LABELLE,F.-A.-A. 2044 3250 0 0
Yale--Cariboo Ross,Duncan Burrell,Martin 1858 2019 0 479
Yamaska Gladu,Joseph-Ernest-Oscar PÉLISSIER,Ernest 1566 2026 0 0
Yarmouth Law,Bowman-Brown CORNING,Thomas-Edgar 1524 1883 0 0
York Crocket,Oswald-Smith Gibson,Alexander 3096 2934 0 0
York-Centre Campbell,Archibald Pugsley,William 2146 2222 0 0
York-North Mulock,William ROACH,Francis-J. 1688 2650 0 0
York-South Maclean,William-Findlay ANDERSON,Alexander-J. 0 0 2418 1790
Yukon Thompson,Alfred Congdon,Frederick-Tennyson 2113 1495 0 0
