Riding winner loser Conservative Liberal Independent Nationalist-Conservative Unknown
Selkirk Smith,Donald-Alexander MORRIS,Hon.A. 546 0 555 0 0
Shefford Huntington,Lucius-Seth NICOL,R. 0 1414 0 0 1186
Shelburne Robertson,Thomas FREEMAN,Robert-W. 0 966 0 0 899
Sherbrooke-(Town-of) Brooks,Edward-Towle None 1 0 0 0 0
Simcoe-North McCarthy,D'Alton Cook,Herman-Henry 2943 2893 0 0 0
Simcoe-South Little,William-Carruthers FLETCHER,Geo. 1137 0 0 0 694
Soulanges Lantier,Jacques-Philippe MASSON,L.H. 852 0 0 0 325
Stanstead Colby,Charles-Carroll JOHNSON,E.R. 1492 0 0 0 738
Stormont Fulton,Oscar Archibald,Cyril 1082 885 0 0 0
Sunbury Burpee,Charles Perley,William-Dell 517 558 0 0 0
Terrebonne Masson,Louis-François-Rodrigue LONGPRÉ,A.-B. 1194 0 0 0 181
Toronto-Centre Hay,Robert Macdonald,John 1631 0 1141 0 0
Toronto-East Platt,Samuel GALLEY,Ed 0 0 1743 0 1052
Toronto-West Robinson,John-Beverley HODGINS,J. 2165 0 0 0 1528
Trois-Rivières Boucher-de-Niverville,Louis-Charles Genest, 277 0 0 0 173
Témiscouata Grandbois,Paul-Étienne POULIOT,A. 1079 0 0 0 952
Vancouver Bunster,Arthur Gordon,David-William 267 336 0 0 74
Vaudreuil Mongenais,Jean-Baptiste Harwood,Robert-William 764 0 0 0 702
Verchères Geoffrion,Félix DUCHARME,M.E. 0 935 0 0 880
Victoria Macdonald,John-Alexander--and--De-Cosmos,Amor DAVIES,J.P. 896 538 0 0 480
Victoria-(N.B.) Costigan,John BERNIER,F.-X. 831 0 0 0 368
Victoria-(N.S.) McDonald,Duncan Campbell,Charles-James 645 748 0 0 0
Victoria-North Cameron,Hector MCLENNAN,J. 917 741 0 0 0
Victoria-South McQuade,Arthur CONNOLLY,J. 1705 0 0 0 1281
Waterloo-North Kranz,Hugo Bowman,Isaac-Erb 1412 1279 0 0 0
Waterloo-South Merner,Samuel Young,James 1468 1424 0 0 0
Welland Bunting,Christopher-William EDWIN,H. 1926 0 0 0 1810
Wellington-Centre Orton,George-Turner ROBINSON,J. 1683 0 0 0 1677
Wellington-North Drew,George-Alexander Higinbotham,Nathaniel 1713 1605 0 0 0
Wellington-South Guthrie,Donald GOLDIE,J. 0 1832 0 0 1529
Wentworth-North Bain,Thomas STOCK,Thos. 0 1343 0 0 1237
Wentworth-South Rymal,Joseph Carpenter,Franklin-Metcalfe 0 1169 0 0 1095
Westmorland Smith,Albert-James CHAPMAN,R.A. 0 2572 0 0 1928
Yale Dewdney,Edgar None 1 0 0 0 0
Yamaska Gill,Charles-Ignace GOUIN,F. 1029 0 0 0 706
Yarmouth Killam,Frank Flint,Thomas-Barnard 0 1343 0 0 802
York Pickard,John FISHER,C.H.B. 0 0 1490 0 834
York-East Boultbee,Alfred Metcalfe,James 1526 1460 0 0 0
York-North Strange,Frederick-William Dymond,Alfred-Hutchinson 1792 1778 0 0 0
York-West Wallace,Nathaniel-Clarke Blain,David 1326 1124 0 0 0
