Riding winner loser Con Lib AntiCon Unknown
Monck MCCALLUM,Lachlin FRASER, 1126 0 0 871
Montcalm DUFRESNE,Joseph None 1 0 0 0
Montmagny BEAUBIEN,Joseph-Octave None 1 0 0 0
Montmorency CAUCHON,Joseph-Édouard None 1 0 0 0
Montreal-Centre WORKMAN,Thomas None 0 1 0 0
Montreal-East CARTIER,George-Étienne LANCTOT,M. 2431 2085 0 0
Montreal-West MCGEE,Thomas-D'Arcy DEVLIN,Bernard 2675 2478 0 0
Mégantic IRVINE,George TRIGANNE,P.O. 1000 0 0 733
Napierville COUPAL,dit-LA-REINE,Sixte LAVIOLETTE, 0 878 0 344
Niagara MORRISON,Angus THOMSON,William-Alexander 300 0 0 250
Nicolet GAUDET,Joseph ROUSSEAU, 1070 0 0 499
No-electoral-district None None 0 0 0 1
Norfolk-North WALSH,Aquila DUNCOMBE, 1026 0 0 990
Norfolk-South LAWSON,Peter WALKER, 0 1050 0 969
Northumberland JOHNSON,John-Mercer GILLESPIE,Thos.F. 0 1226 0 757
Northumberland-East Keeler,Joseph McKenzie,K. 1607 0 0 827
Northumberland-West COCKBURN,James None 1 0 0 0
Ontario-North THOMPSON,John-Hall CAMERON,Malcolm 0 1628 0 1362
Ontario-South GIBBS,Thomas-Nicholson BROWN,George 1292 1223 0 0
Ottawa-(City-of) CURRIER,Joseph-Merrill McGillivray,E. 974 0 0 5
Ottawa-(County-of) WRIGHT,Alonzo None 1 0 0 0
Oxford-North OLIVER,Thomas None 0 1 0 0
Oxford-South BODWELL,Ebenezer-Vining None 0 1 0 0
Peel CAMERON,John-Hillyard BARBER, 1138 0 0 1076
Perth-North DALY,Thomas-Mayne REDFORD,James 1307 1515 0 0
Perth-South MACFARLANE,Robert GUEST, 0 1490 0 1393
Peterborough-East GROVER,Peregrine-Maitland ANDERSON, 956 0 0 644
Peterborough-West PERRY,Charles GORDON, 681 0 0 652
Pictou CARMICHAEL,James-William MCDONALD,James 1653 0 2011 0
Pontiac HEATH,Edmund None 1 0 0 0
Portneuf Brousseau,Jean-Docile Déry, 1027 0 0 718
Prescott HAGAR,Albert HIGGINSON, 0 1205 0 130
Prince-Edward MCCUAIG,James-Simeon ROSS,Walter 942 1779 0 0
Queens FORBES,James-Fraser CAMPBELL, 0 0 844 271
Queen's FARRIS,John None 0 1 0 0
Quebec-County CHAUVEAU,Pierre-Joseph-Olivier None 1 0 0 0
Quebec-Centre SIMARD,Georges-Honoré GARNEAU, 1291 0 0 5
Quebec-East HUOT,Pierre-Gabriel None 0 1 0 0
Quebec-West MCGREEVY,Thomas None 1 0 0 0
Renfrew-North RANKIN,John MURRAY,Thomas 613 0 0 527
Renfrew-South MCLACHLIN,Daniel None 0 1 0 0
Restigouche MCMILLAN,Hon.John PHILLIPS,John 0 370 0 259
Richelieu MCCARTHY,Thomas PERRAULT, 777 0 0 625
Richmond CROKE,William-Joseph DONOVAN, 0 0 545 279
Richmond-Wolfe WEBB,William-Hoste BEIQUE, 1137 0 0 903
Rimouski SYLVAIN,Georges MICHAUD,Augustin 1152 0 0 697
Rouville Cheval-dit-St-Jacques,Guillaume POULIN, 0 1236 0 824
Russell GRANT,James-Alexander BELL, 1293 0 0 695
Saint-Hyacinthe KIERZKOWSKI,Alexandre-Edouard RAYMOND,Raymond 0 1107 0 929
Saint-Jean BOURASSA,François LABERGE, 0 696 0 600
Saint-Maurice DÉSAULNIERS,Louis-Léon-Lesieur None 1 0 0 0
Shefford HUNTINGTON,Lucius-Seth PARMELEE,Charles-Henry 0 1317 0 991
Shelburne COFFIN,Thomas None 0 0 1 0
Sherbrooke-(Town-of) GALT,Alexander-Tilloch None 1 0 0 0
Simcoe-North MCCONKEY,Thomas-David None 0 1 0 0
Simcoe-South LITTLE,William-Carruthers SAUNDERS, 1411 0 0 1055
Soulanges MASSON,Luc-Hypolite GUINDON, 729 0 0 470
Stanstead COLBY,Charles-Carroll KNIGHT, 814 0 0 616
Stormont AULT,Samuel SINCLAIR, 955 0 0 363
Sunbury BURPEE,Charles PERLEY,Wm.-C. 0 664 0 425
Terrebonne MASSON,Louis-François-Rodrigue None 1 0 0 0
Toronto-East BEATTY,James AIKINS, 1113 0 0 980
Toronto-West HARRISON,Robert-Alexander MACDONALD,Augustine-Colin 1477 1048 0 0
Trois-Rivières Boucher-de-Niverville,Louis-Charles Genest, 277 0 0 143
Témiscouata BERTRAND,Charles-Frédéric-Adolphe None 1 0 0 0
Vaudreuil MCMILLAN,Donald None 1 0 0 0
Verchères GEOFFRION,Félix MASSUE, 0 831 0 740
Victoria Costigan,John Beveridge,Wm.-B. 778 0 0 549
Victoria ROSS,William None 0 0 1 0
Victoria-North MORRISON,John CAMERON,Hector 0 687 0 403
Victoria-South KEMPT,George CAMERON,Hector 0 1001 0 801
Waterloo-North BOWMAN,Isaac-Erb None 0 1 0 0
Waterloo-South YOUNG,James COWAN,James 0 1324 0 958
Welland STREET,Thomas-Clark None 1 0 0 0
Wellington-Centre PARKER,Thomas-Sutherland None 0 1 0 0
Wellington-North DREW,George-Alexander FOLEY, 1493 0 0 1271
Wellington-South STIRTON,David STONE, 0 963 0 652
Wentworth-North MCMONIES,James BROWN, 0 1154 0 1093
Wentworth-South RYMAL,Joseph ROBERTSON,Thomas 0 1015 0 988
Westmorland SMITH,Albert-James LANDRY,J.J.D. 0 2207 0 454
Yamaska FORTIER,Moïse PROVENCHER,Joseph-Albert-Norbert 760 797 0 0
Yarmouth KILLAM,Thomas BROWN,George-S. 0 0 1225 666
York FISHER,Charles None 0 1 0 0
York-East METCALFE,James MILNE, 0 1174 0 937
York-North WELLS,James-Pearson None 0 1 0 0
York-West HOWLAND,William-Pierce HUBERTUS,J.-S. 810 0 0 297
