Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Liberal-Progressive Labour Independent Unknown
Hamilton-East Rennie,George-Septimus TRELEAVEN,Freeman-Ferrier 12893 8142 0 0 0 0 0 343
Hamilton-West Bell,Charles-William RISELAY,Cranmer-Egerton 10978 6275 0 0 0 0 0 0
Hants--Kings Ilsley,James-Lorimer Foster,Arthur-de-Witt 9947 11059 0 0 0 0 0 0
Hastings--Peterborough Embury,Alexander-Thomas AYLSWORTH,Fraser 6993 2999 0 0 0 0 0 0
Hastings-South Tummon,William-Ernest Hanna,Charles-Edward 10340 8143 0 0 0 0 0 0
Hochelaga St-Père,Édouard-Charles SIMARD,Joseph-Thomas-Ulric 8949 19382 0 0 0 0 0 0
Hull Fournier,Alphonse BEAUCHAMP,Jean-Noël 5911 12543 0 0 0 0 0 0
Humboldt Totzke,Albert-Frederick WILSON,Edward-Sexton 3984 7915 2116 0 0 0 0 0
Huron-North Spotton,George ROBERTSON,William-Henry 6160 5927 0 0 0 0 0 0
Huron-South McMillan,Thomas TREWARTHA,Nelson-W. 5827 6176 0 0 0 0 0 0
Inverness MacDougall,Isaac-Duncan Macdonald,Angus-Lewis 4887 4722 0 0 0 0 0 0
Jacques-Cartier Laurin,Joseph-Georges-Philippe Rhéaume,Joseph-Théodule 22907 20438 0 0 0 0 981 0
Joliette Ferland,Charles-Édouard PERRAULT,Joseph-Conrad 4979 5904 0 0 0 0 0 0
Kamouraska Bouchard,Joseph-Georges AUDET,Pierre 4109 4534 0 0 0 0 0 0
Kenora--Rainy-River Heenan,Peter MCMANUS,Francis-James 0 6313 0 0 0 0 0 5811
Kent Arsenault,Telesphore Bourgeois,Alfred-Edmond 4884 4504 0 0 0 0 0 0
Kent Rutherford,James-Warren STONEHOUSE,Calvert-Stanley 10765 12179 0 0 0 0 0 0
Kindersley Carmichael,Archibald-M. Henderson,Charles-Albert 0 5170 7350 0 0 0 0 0
King's Macdonald,John-Alexander-(1874-1948) Grant,Thomas-Vincent 4719 4391 0 0 0 0 0 0
Kingston-City Ross,Arthur-Edward Halliday,James 6359 4771 0 0 0 0 0 0
Kootenay-East McLean,Michael-Dalton GUIMONT,Joseph-Francis 4674 4468 0 0 0 0 0 0
Kootenay-West Esling,William-Kemble MCLEAN,Duncan-Daniel 7699 5938 0 0 0 0 0 0
L'Assomption--Montcalm Séguin,Paul-Arthur JEANNOTTE,Charles-Édouard 4650 6568 0 0 0 0 0 0
L'Islet Fafard,Joseph-Fernand Gauthier,Louis-Joseph 3165 3558 0 0 0 0 0 0
Labelle Bourassa,Joseph-Henri-Napoléon None 0 0 0 0 0 0 1 0
