Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
Halifax Blackadder,Edward--and--Maclean,Alexander-Kenneth MCINNES,Hector 11016 16157 0 0 4141 0 0 0
Halton Anderson,Robert-King FISHER,William-Franklin 5264 3649 3238 0 0 0 0 0
Hamilton-East Mewburn,Sydney-Chilton ETHERINGTON,Edward-James 6320 1667 4824 0 2274 0 0 1667
Hamilton-West Stewart,Thomas-Joseph O'HEIR,Thomas-James 6942 1557 4990 0 0 0 0 0
Hants Martell,Lewis-Herbert PARSONS,Albert 3795 4027 993 0 0 0 0 0
Hastings-East Thompson,Thomas-Henry CASKEY,James-Albert 4986 1246 3592 0 0 0 0 0
Hastings-West Porter,Edward-Guss MCINTOSH,A.D. 7279 0 6108 0 0 0 0 0
Hochelaga St-Père,Édouard-Charles AYOTTE,Joseph-Rosario-Léo 2335 20164 0 0 0 0 0 0
Hull Fontaine,Joseph-Éloi LAFORTUNE,Sylvio 0 11998 2510 0 0 0 0 0
Humboldt Stewart,Charles-Wallace MEILICKE,Otto-Frederick 1215 4707 10280 0 0 0 0 0
Huron-North King,John-Warwick Spotton,George 4057 2426 5243 0 0 0 0 0
Huron-South Black,William McMillan,Thomas 3965 4061 4105 0 0 0 0 0
Inverness Chisholm,Alexander-William MacDougall,Isaac-Duncan 0 4650 4128 0 0 0 0 0
Jacques-Cartier Lafortune,David-Arthur GOHIER,Jean-Baptiste-Hercule 9227 18881 0 0 0 1825 0 0
Joliette Denis,Jean-Joseph LAPORTE,Joseph-Pierre 3763 6203 0 0 0 265 0 0
Kamouraska Stein,Charles-Adolphe LANGLAIS,Joseph 0 4822 0 0 0 2483 0 0
Kent Léger,Auguste-Théophile Doucet,Alexandre-Joseph 0 4626 3103 0 0 0 0 0
Kent McCoig,Archibald-Blake MCDIARMID,Duncan-Robert 5288 11093 7211 0 0 0 0 0
Kindersley Carmichael,Archibald-M. Myers,Edward-Thomas-Wordon 2995 0 13911 0 0 0 0 0
Kings Robinson,Ernest-William PHINNEY,Horton-W. 5097 5812 0 0 0 0 0 0
King's Hughes,James-Joseph McIsaac,James 3008 3829 1877 0 0 0 0 0
Kingston Ross,Arthur-Edward CAMPBELL,John-Murdoch 6055 5884 0 0 0 0 0 0
Kootenay-East Beattie,Robert-Ethelbert Bonnell,Saul 2203 2339 1591 0 0 0 0 0
Kootenay-West Humphrey,Levi-William ROSE,William-Oliver 3890 1117 4790 0 0 0 0 0
L'Assomption--Montcalm Séguin,Paul-Arthur FOREST,Alfred 1626 7408 0 0 0 600 0 114
L'Islet Fafard,Joseph-Fernand Paquet,Eugène 2132 3720 0 0 0 0 0 0
Labelle Fortier,Hyacinthe-Adélard LACHANCE,Jean 0 7391 2893 0 0 124 0 0
Lambton-East Fansher,Burt-Wendell Armstrong,Joseph-Elijah 5752 0 6747 0 0 0 0 0
Lambton-West LeSueur,Richard-Vryling WHITE,Robert-John 5715 4602 4958 0 0 0 0 0
Lanark Stewart,John-Alexander ANDERSON,Robert-Matheson 9250 0 6615 0 158 0 0 0
Laprairie--Napierville Lanctôt,Roch CORNELLIER,Louis-Moïse 1213 4458 0 0 0 0 0 0
Last-Mountain Johnston,John-Frederick THOMPSON,Thomas-Frederick 1553 0 11024 0 0 0 0 0
Laurier--Outremont Gouin,Lomer NADEAU,Joseph-Alfred 5023 15341 0 0 1289 0 0 0
Laval--Deux-Montagnes Éthier,Joseph-Arthur-Calixte THÉORET,Aglibert 0 6040 0 0 0 3479 0 539
Leeds Stewart,Hugh-Alexander MALLORY,Amassa-Whitney 7868 5830 3564 0 0 0 0 0
Lennox-and-Addington Sexsmith,Edward-James CARSCALLEN,Archibald-Brisco 4606 0 4735 0 0 0 0 0
Lethbridge Jelliff,Lincoln-Henry FINN,Martin-Francis 1328 615 4961 0 3170 0 0 0
Lincoln Chaplin,James-Dew LOVELACE,Edwin-John 8087 0 3066 0 6212 0 0 0
Lisgar Brown,John-Livingstone Rogers,Robert 3296 0 4460 0 0 0 0 0
London White,John-Franklin SOMERVILLE,Charles-Ross 9730 7974 4252 0 0 0 0 0
Lotbinière Vien,Thomas LAFLEUR,Henri 0 5179 2370 0 0 0 0 0
Lunenburg Duff,William Stewart,Dugald 4541 7899 0 0 0 0 0 0
Lévis Bourassa,Joseph-Boutin GRAVEL,Louis-Gédéon 4004 8787 0 0 0 0 0 0
