FEDUID Riding Lib Con NDP Green BQ Ind
24069 Saint-Léonard-Saint-Michel 27553 5353 2896 1148 4324 3126
24070 Saint-Maurice-Champlain 22961 9497 3016 1763 19856 0
24071 Salaberry-Suroît 18546 6073 4966 1970 29904 348
24072 Shefford 22472 7470 3631 2757 23438 291
24073 Sherbrooke 17551 6376 16197 2721 15465 482
24074 Vaudreuil-Soulanges 31971 7712 7263 3373 16550 0
24075 Terrebonne 17637 4593 4524 2222 30785 252
24076 Trois-Rivières 15676 15192 9984 1462 17178 144
24077 Ville-Marie-Le-Sud-Ouest-Île-des-Soeurs 26644 4565 7699 3498 6678 165
24078 Vimy 26181 5962 4759 2067 15402 0
35001 Ajax 34344 16219 6811 2016 0 187
35002 Algoma–Manitoulin–Kapuskasing 9760 10557 16740 2145 0 124
35003 Aurora–Oak-Ridges–Richmond-Hill 22014 23333 3684 2090 0 517
35004 Barrie–Innisfil 15655 23573 8742 4630 0 0
35005 Barrie–Springwater–Oro-Medonte 16601 20857 7868 6968 0 0
35006 Bay-of-Quinte 24351 22886 9770 3744 0 0
35007 Beaches–East-York 32168 7957 11964 3295 0 0
35008 Brampton-Centre 18543 10605 7693 1655 0 105
35009 Brampton-East 23727 12045 13077 679 0 211
35010 Brampton-North 25697 13895 8382 1479 0 0
35011 Brampton-South 23836 13753 7828 1898 0 285
35012 Brampton-West 28433 12659 9695 1240 0 315
35013 Brantford–Brant 20250 26723 12972 4165 0 392
35014 Bruce–Grey–Owen-Sound 17247 26584 6666 5007 0 316
35015 Burlington 34217 23467 7622 4606 0 0
35016 Cambridge 22636 17316 10972 4279 0 162
35017 Chatham-Kent–Leamington 16751 25289 8125 2205 0 306
35018 Davenport 22813 5014 21341 2341 0 137
35019 Don-Valley-East 24908 10036 4591 1643 0 0
35020 Don-Valley-North 22998 16307 4158 1767 0 0
35021 Don-Valley-West 28426 15981 3758 2140 0 273
35022 Dufferin–Caledon 22330 28729 7822 7252 0 318
35023 Durham 23299 30627 13144 3881 0 0
35024 Eglinton–Lawrence 29384 17909 4654 2581 0 0
35025 Elgin–Middlesex–London 14166 30880 10909 3522 0 618
35026 Essex 12840 28126 23350 2139 0 0
35027 Etobicoke-Centre 32347 21610 4739 2745 0 286
35028 Etobicoke–Lakeshore 35522 19811 8141 4046 0 162
35029 Etobicoke-North 26147 9415 4733 1103 0 104
35030 Flamborough–Glanbrook 23702 24352 10152 3756 0 0
35031 Glengarry–Prescott–Russell 29991 22849 6619 2017 0 268
35032 Guelph 29890 14348 9059 18808 0 492
35033 Haldimand–Norfolk 14285 27298 8995 4780 0 1059
35034 Haliburton–Kawartha-Lakes–Brock 16839 31986 9532 5413 0 0
35035 Hamilton-Centre 12474 6294 20080 3314 0 181
35036 Hamilton-East–Stoney-Creek 19899 13007 14814 2859 0 0
35037 Hamilton-Mountain 15825 13330 18872 3059 0 330
35038 Hamilton-West–Ancaster–Dundas 29740 17219 11356 4775 0 159
35039 Hastings–Lennox-and-Addington 18991 21225 6840 2991 0 0
35040 Huron–Bruce 20333 29743 7389 2701 0 0
35041 Kanata–Carleton 27802 23699 8001 4182 0 0
