Riding winner loser Conservative Liberal Independent Unknown
Kent LeBlanc,Olivier-J. McInerney,George-Valentine 1816 2447 0 0
Kent Stephens,George SMITH,Theodore-A. 3173 3390 0 0
King's Fowler,George-William Domville,James 2566 2383 0 0
Kings Borden,Frederick-William WEBSTER,Barclay 1890 2233 0 0
King's Hughes,James-Joseph Macdonald,Augustine-Colin 1970 2210 0 0
Kingston Britton,Byron-Moffatt MCINTYRE,Donald-Malcolm 1687 1879 0 0
L'Assomption Laurier,Romuald-Charlemagne ÉTHIER,Horace-Honoré 1138 1486 0 0
L'Islet Déchêne,Alphonse-Arthur-Miville CARON,Jos.-Ed. 1011 1111 0 0
Labelle Bourassa,Joseph-Henri-Napoléon POULIN,S.R. 1494 1973 0 0
Lambton-East Simmons,Oliver Fraser,John 2637 2416 0 0
Lambton-West Johnston,Thomas-George HANNA,W.J. 2110 2299 0 0
Lanark-North Rosamond,Bennett Caldwell,Thomas-Boyd 1848 1841 0 0
Lanark-South Haggart,John-Graham Preston,Richard-Franklin 2010 0 0 1626
Laprairie--Napierville Monet,Dominique COUPAL,Maximilien 1557 1653 0 0
Laval Fortin,Thomas Léonard,Joseph-Édouard-Émile 1502 1821 0 0
Leeds-North-and-Grenville-North Lavell,John-Reeve Frost,Francis-Theodore 1590 1267 0 0
Leeds-South Taylor,George LEWIS,William-A. 2472 2062 0 0
Lennox Wilson,Uriah LEONARD,Raymond-Alonzo 1570 1461 0 0
Lincoln-and-Niagara Lancaster,Edward-Arthur Gibson,William 3120 2981 0 0
Lisgar Richardson,Robert-Lorne WINKLER,Valentine 0 3143 3392 0
London Hyman,Charles-Smith Beattie,Thomas 2265 2812 236 0
Lotbinière Fortier,Edmond BOISVERT,F. 795 1376 0 805
Lunenburg Kaulbach,Charles-Edwin Maclean,Alexander-Kenneth 2896 2574 0 0
Lévis Demers,Louis-Julien DUMONTIER,J.A. 1630 2455 0 0
Macdonald Boyd,Nathaniel Rutherford,John-Gunion 3866 3710 0 0
Maisonneuve Préfontaine,Joseph-Raymond-Fournier Ouimet,L. 3070 4844 0 0
Marquette Roche,William-James THOMPSON,J.W. 2809 2387 0 0
Maskinongé Legris,Joseph-Hormisdas Caron,Adolphe-Philippe 901 1400 25 0
Middlesex-East Gilmour,James GILLSON,John 2619 1899 0 0
Middlesex-North Sherritt,John Ratz,Valentine 2221 2008 0 0
Middlesex-South McGugan,Malcolm JUDD,Joseph-Coulson 1264 2020 0 0
Middlesex-West Calvert,William-Samuel DUNLOP,Richard 1813 1989 0 0
Missisquoi Meigs,Daniel-Bishop COMEAU,Jean-Baptiste 1838 1864 0 0
Montcalm Dugas,François-Octave Dugas,Joseph-Louis-Euclide 1024 1212 0 0
Montmagny Martineau,Pierre-Raymond-Léonard BERNIER,Alphonse 973 1186 0 0
Montmorency Casgrain,Thomas-Chase CORRIVEAU,Philias 1109 1056 0 0
Muskoka-and-Parry-Sound McCormick,George Watson,Robert-James 2637 2515 0 0
Mégantic Turcot,Georges Fréchette,Louis-Israël-Côté-Alias 1795 2204 0 0
New-Westminster Morrison,Aulay-MacAulay Dewdney,Edgar 1627 1772 0 0
Nicolet Ball,Georges MILOT,Charles 2277 2136 0 0
Nipissing McCool,Charles-Arthur None 0 1 0 0
Norfolk-North Charlton,John None 0 1 0 0
Norfolk-South Tisdale,David ATKINSON,Thos.-R. 2472 2200 0 0
Northumberland Robinson,James Morrissy,John-Veriker 2404 1905 0 0
Northumberland-East Cochrane,Edward DENIKE,Robert-Baldwin 2452 2086 0 0
Northumberland-West McColl,John-B. Guillet,George 1371 1506 0 0
Ontario-North McLeod,Angus Graham,Duncan 2357 0 1839 0
Ontario-South Ross,William Smith,William 1876 1970 0 0
Ontario-West Gould,Isaac-James ROCHE,Francis-J. 1231 1740 0 0
Ottawa-(City-of) Birkett,Thomas--and--Belcourt,Napoléon-Antoine CHAMPAGNE,Napoléon 4897 4524 0 4507
Oxford-North Sutherland,James WALLACE,James-Gamble 1115 2717 0 0
Oxford-South Cartwright,Richard-John KING,Stephen 1226 2042 0 0
Peel Blain,Richard Featherston,Joseph 1705 1592 0 0
Perth-North MacLaren,Alexander-Ferguson GOETZ,George 3118 2838 0 0
Perth-South Erb,Dilman-Kinsey Pridham,William 2160 2169 0 0
Peterborough-East Lang,John Sexsmith,John-Albert 1702 0 1876 0
Peterborough-West Kendry,James MCCLELLAN,Joseph-H. 1750 1399 0 0
Pictou Tupper,Charles-Hibbert--and--Bell,Adam-Carr Macdonald,Edward-Mortimer 3624 3523 0 3438
Pontiac Murray,Thomas Brabazon,Gerald-Hugh 1617 1798 0 0
Portneuf Delisle,Michel-Siméon LARUE,G.-Antoine 2009 2444 0 0
Prescott Proulx,Isidore Cloran,Henry-Joseph 1049 1596 0 1177
Prince-Edward Alcorn,George-Oscar Pettet,William-Varney 2148 2080 0 0
Provencher LaRivière,Alphonse-Alfred-Clément BERTRAND,S.A.D. 1528 1484 0 0
Quebec-County Fitzpatrick,Charles BEAUBIEN,L.A. 911 2201 0 0
Quebec-Centre Malouin,Arthur-Cyrille-Albert CHATEAUVERT,Victor 1155 1670 0 0
Quebec-Est Laurier,Wilfrid CHAPLEAU,Joseph-Eugène 826 3598 0 0
Quebec-Ouest Dobell,Richard-Reid KIRWIN,Patrick 649 1018 0 0
Renfrew-North Mackie,Thomas White,Peter 2167 2299 0 0
Renfrew-South Wright,Aaron-Abel Ferguson,John 0 2149 1796 0
Restigouche Reid,James MCALLISTER,John 744 1221 0 0
Richelieu Bruneau,Arthur-Aimé Vanasse,Fabien 1533 1803 0 0
Richmond Matheson,Joseph Gillies,Joseph-Alexander 840 1092 0 0
Richmond--Wolfe Tobin,Edmund-William COTÉ-CRÉPEAU,Joseph-H. 2517 3500 0 0
Rimouski Ross,Jean-Auguste TACHÉ,Ls. 2525 2794 0 0
Rouville Brodeur,Louis-Philippe DAVID,Joseph-Arthur 682 1767 0 0
Russell Edwards,William-Cameron Perley,George-Halsey 2523 3089 0 0
Saint-Antoine Roddick,Thomas-George Mackay,Robert 2879 2792 0 0
Saint-Hyacinthe Bernier,Michel-Esdras CARTIER,A.P. 1136 2247 0 0
Saint-Jacques Desmarais,Odilon PAGNUELO,Tancrède 1615 3256 74 0
Saint-Jean--Iberville Demers,Louis-Philippe NADEAU,J.A. 1019 2024 0 0
Saint-Laurent Bickerdike,Robert EKERS,Henry-Archer 2457 3439 0 0
Saint-Anne Gallery,Daniel Quinn,Michael-Joseph-Francis 2369 2670 0 0
Saint-Marie Tarte,Joseph-Israël Charpentier,Trefflé 1922 3178 182 0
Saskatchewan-(Provisional-District) Davis,Thomas-Osborne SPENCE,T.C. 894 1635 0 0
Selkirk McCreary,William-Forsythe HASLAM,John-Heber 2171 2172 0 0
Shefford Parmelee,Charles-Henry SAVAGE,Alonzo-Chown 1884 2314 0 0
Shelburne-and-Queen's Fielding,William-Stevens RITCHIE,J.J. 1901 2294 0 0
Sherbrooke-(Town-of) McIntosh,John LEBARON,George-Albert 1693 1662 0 0
Simcoe-East Bennett,William-Humphrey CHEW,Geo. 3486 3447 0 0
Simcoe-North McCarthy,Leighton-Goldie CAMERON,Charles 1936 0 2524 0
Simcoe-South Lennox,Haughton WHITESIDES,Jos. 2331 1409 0 0
Soulanges Bourbonnais,Augustin BISSONNETTE,A.M. 861 1105 0 0
Stanstead Lovell,Henry Moore,Alvin-Head 1618 1783 0 0
Sunbury--Queen's Wilmot,Robert-Duncan WHITE,Albert-S. 2143 1868 0 0
Terrebonne Préfontaine,Joseph-Raymond-Fournier Chauvin,Léon-Adolphe 2010 2277 0 0
Toronto-Centre Brock,William-Rees FLETT,John 2625 2411 0 179
Toronto-East Kemp,Albert-Edward ANDERSON,George 4074 2830 0 93
Toronto-West Clarke,Edward-Frederick--and--Osler,Edmund-Boyd BURNS,William 7024 4713 0 4547
Trois-Rivières-et-Saint-Maurice Bureau,Jacques PANNETON,P.E. 1527 1832 0 103
Témiscouata Gauvreau,Charles-Arthur Grandbois,Paul-Étienne 1700 2212 0 0
Vancouver Smith,Ralph WOLLEY,Clive-Phillips 868 1256 0 0
Vaudreuil Harwood,Henry-Stanislas LAPOINTE,Alfred 665 1140 0 0
Victoria Prior,Edward-Gawler--and--Earle,Thomas DRURY,Richard-Low 1872 1657 0 1640
Victoria Costigan,John None 0 1 0 0
Victoria Ross,William MCCASKILL,Duncan-A. 785 1072 0 0
Victoria-North Hughes,Samuel MCKAY,John 1546 1417 0 0
Victoria-South Vrooman,Adam-Edward McHugh,George 2337 2121 0 0
Waterloo-North Seagram,Joseph-Emm None 1 0 0 0
Waterloo-South Clare,George-Adam SHANTZ,Peter-F. 2708 2490 0 0
Welland German,William-Manley McCleary,William 2557 2777 0 0
Wellington-Centre McGowan,John Semple,Andrew 2364 2079 0 0
Wellington-North Tolton,Edwin McMullen,James 2463 2431 0 0
Wellington-South Guthrie,Hugh Kloepfer,Christian 2649 2755 0 0
Wentworth-North-and-Brant Paterson,William JONES,S.-Alfred 961 2059 0 0
Wentworth-South Smith,Ernest-D'Israeli Sealey,William-Oscar 2584 2428 0 0
West-Prince Hackett,Edward McLellan,Bernard-Donald 1854 1845 0 0
West-Queen's Davies,Louis-Henry STEWART,William-S. 1793 2528 0 0
Westmorland Emmerson,Henry-Robert Powell,Henry-Absalom 3934 4420 0 0
Winnipeg Puttee,Arthur-W. MARTIN,Ed.-Daniel 0 0 3441 2258
Wright Champagne,Louis-Napoléon MCDOUGALL,J.M. 2074 2953 0 0
Yale--Cariboo Galliher,William-Alfred FOLEY,C. 0 3112 0 2652
Yamaska Mignault,Roch-Moïse-Samuel Mondou,Albéric-Archie 1369 1473 0 0
Yarmouth Flint,Thomas-Barnard CORNING,Thomas-Edgar 1535 1756 0 0
York Gibson,Alexander MCLEOD,Joseph 0 2937 2861 0
York-East Maclean,William-Findlay Rowell,Newton-Wesley 0 3489 4131 0
York-North Mulock,William CURREY,John 1710 2007 0 0
York-West Wallace,Nathaniel-Clarke Campbell,Archibald 5126 4306 0 0
