Riding winner loser Conservative Liberal Independent Patrons-of-Industry McCarthyites Unknown
Huron-West Cameron,Malcolm-Colin MCLEAN,Robert 1520 1837 0 725 0 0
Inverness McLennan,Angus Cameron,Hugh 1532 1676 737 0 0 0
Jacques-Cartier Monk,Frederick-Debartzch Boyer,Arthur 2329 2216 0 0 0 0
Joliette Bazinet,Charles LAVALLÉE,V.P. 1453 1769 0 0 0 0
Kamouraska Carroll,Henry-George Taschereau,Thomas-Linière 1403 1414 0 0 0 0
Kent McInerney,George-Valentine LeBlanc,Olivier-J. 2041 1514 0 0 0 0
Kent Campbell,Archibald BALL,W. 3158 3315 0 0 0 0
King's Domville,James MORTON,F.E. 1874 2389 0 0 0 0
Kings Borden,Frederick-William BILL,W.C. 1781 2252 0 0 0 0
King's Macdonald,Augustine-Colin McIntyre,Peter-Adolphus 1939 1924 0 0 0 0
Kingston Britton,Byron-Moffatt MCINTYRE,D.M. 1519 1671 0 0 0 0
L'Assomption Gauthier,Joseph Jeannotte,Hormidas 1216 1335 0 0 0 0
L'Islet Déchêne,Alphonse-Arthur-Miville DIONNE,A. 1032 1038 0 0 0 0
Labelle Bourassa,Joseph-Henri-Napoléon POULIN,S.R. 1706 2175 0 0 0 0
Lambton-East Fraser,John Moncrieff,George 2104 2144 0 0 0 1383
Lambton-West Lister,James-Frederick DEWAR,Arch-Cam. 0 2365 0 0 0 1208
Lanark-North Rosamond,Bennett MILLER,James 1757 0 0 1481 280 0
Lanark-South Haggart,John-Graham FERGUSON,John 1939 0 0 1560 0 0
Laprairie--Napierville Monet,Dominique Pelletier,Louis-Conrad 1458 1734 0 0 0 0
Laval Fortin,Thomas BISAILLON,F.J. 1449 1541 0 0 0 0
Leeds-North-and-Grenville-North Frost,Francis-Theodore Lavell,John-Reeve 1423 1432 0 0 0 0
Leeds-South Taylor,George FREDENBURGH,William-H. 2501 2013 0 263 0 0
Lennox Wilson,Uriah SWITZER,E.B. 1192 0 690 1043 0 0
Lincoln-and-Niagara Gibson,William Rykert,John-Charles 2523 2945 0 0 0 0
Lisgar Richardson,Robert-Lorne Rogers,Robert 2603 2657 0 0 0 0
London Beattie,Thomas Hyman,Charles-Smith 2325 2284 0 0 0 0
Lotbinière Rinfret,Côme-Isaïe LORD,Dr.-I.A.P. 1214 1620 0 0 0 0
Lunenburg Kaulbach,Charles-Edwin Sperry,John-Drew 2403 2318 0 0 0 0
Lévis Guay,Pierre-Malcom GELLEY,J.E. 1963 2271 0 0 0 0
Macdonald Boyd,Nathaniel Rutherford,John-Gunion 2436 2038 0 1259 0 0
Maisonneuve Préfontaine,Joseph-Raymond-Fournier BARIL,Dr.-Geo.-E. 2342 3912 0 0 0 0
Marquette Roche,William-James ASHDOWN,James-Henry 1533 1466 0 472 0 0
Maskinongé Legris,Joseph-Hormisdas Coulombe,Charles-Jérémie 1094 1384 0 0 0 0
Middlesex-East Gilmour,James GILLSON,John 2651 2227 0 0 0 0
Middlesex-North Ratz,Valentine Hutchins,William-Henry 2122 2184 0 0 0 0
Middlesex-South McGugan,Malcolm ELLIOTT,H.B. 1295 2035 0 0 0 0
Middlesex-West Calvert,William-Samuel Roome,William-Frederick 1933 2274 0 0 0 0
Missisquoi Meigs,Daniel-Bishop SLACK,G.F. 1471 1687 0 0 0 0
Montcalm Dugas,Joseph-Louis-Euclide LABELLE,Louis-Victor 1202 907 0 0 0 0
Montmagny Choquette,Philippe-Auguste BENDER,E.P. 901 1143 0 0 0 0
Montmorency Casgrain,Thomas-Chase Langelier,Charles 1096 1046 0 0 0 0
Muskoka-and-Parry-Sound McCormick,George PRATT,William-H. 2249 1991 0 0 1068 0
Mégantic Turcot,Georges Fréchette,Louis-Israël-Côté-Alias 1410 2064 0 0 0 0
New-Westminster Morrison,Aulay-MacAulay MCBRIDE,Richard 1460 1758 0 0 0 0
Nicolet Boisvert,Fabien Leduc,Joseph-Hector 2377 2239 0 0 0 0
Nipissing Klock,James-Bell Conmee,James 2477 1513 0 0 0 0
Norfolk-North Charlton,John MCGUIRE,Wm. 0 2142 0 1598 0 0
Norfolk-South Tisdale,David WALKER,George 2383 0 0 2110 0 0
Northumberland Robinson,James Mitchell,Peter 2225 1718 660 0 0 0
Northumberland-East Cochrane,Edward MALLORY,C.A. 2410 0 0 2013 0 0
Northumberland-West Guillet,George McColl,John-B. 1200 1130 0 621 0 0
Ontario-North McGillivray,John-Alexander Graham,Duncan 2328 0 0 2327 0 0
Ontario-South Burnett,Leonard Smith,William 2021 2165 0 0 0 0
Ontario-West Edgar,James-David MCCORMACK,W.A. 1093 1832 0 0 0 0
Ottawa-(City-of) Hutchison,William-H.--and--Belcourt,Napoléon-Antoine ROBINSON,Hiram 2751 3333 0 0 0 2654
Oxford-North Sutherland,James KARN,D.W. 1010 2811 0 0 0 0
Oxford-South Cartwright,Richard-John MAYBERRY,Ths.-R. 1597 2347 0 0 0 0
Peel Featherston,Joseph CAMPBELL,A.F. 1425 1891 0 0 0 0
Perth-North MacLaren,Alexander-Ferguson Grieve,James-Nicol 2916 2870 0 0 0 0
Perth-South Erb,Dilman-Kinsey Pridham,William 1851 2069 0 0 0 551
Peterborough-East Lang,John Burnham,John 1738 0 2353 0 0 0
Peterborough-West Kendry,James HALL,Richard 1485 1166 622 0 0 0
Pictou Tupper,Charles-Hibbert--and--Bell,Adam-Carr MCDONALD,Edmund-Mortimer 3577 3349 0 0 0 3337
Pontiac Poupore,William-Joseph GABOURY,T.C. 1980 1341 0 0 0 0
Portneuf Joly-de-Lotbinière,Henri-Gustave STAFFORD,L. 2050 2086 0 0 0 0
Prescott Proulx,Isidore Cloran,Henry-Joseph 902 1334 0 996 0 0
Prince-Edward Pettet,William-Varney BOULTER,W. 1967 0 0 2188 0 0
Provencher LaRivière,Alphonse-Alfred-Clément WALTON,George 1476 810 0 0 0 0
Quebec-County Fitzpatrick,Charles Frémont,Jules-Joseph-Taschereau 0 1982 0 0 0 1058
Quebec-Centre Langelier,François-Charles-Stanislas Angers,Auguste-Réal 1150 1469 0 0 0 0
Quebec-Est Laurier,Wilfrid LECLERC,Cléophas 1011 3202 0 0 0 0
Quebec-Ouest Dobell,Richard-Reid McGreevy,Thomas 826 1057 0 0 0 0
Renfrew-North Mackie,Thomas White,Peter 1837 1900 0 0 0 0
Renfrew-South Ferguson,John JAMIESON,Robert-A. 0 0 1846 1424 0 0
Restigouche McAlister,John HADOW,G. 794 750 0 0 0 0
Richelieu Bruneau,Arthur-Aimé Desjardins,Alphonse 1475 1609 0 0 0 0
Richmond Gillies,Joseph-Alexander Flynn,Edmund-Power 1078 1056 0 0 0 0
Richmond--Wolfe Stenson,Michael-Thomas Cleveland,Clarence-Chester 2544 2782 0 0 0 0
Rimouski Fiset,Jean-Baptiste-Romuald TACHÉ,Louis 2177 2443 0 0 0 0
