Riding winner loser Conservative Liberal Independent Nationalist-Conservative Unknown
Addington Bell,John-William SHIBLEY,Henry-T. 1927 1537 0 0 0
Albert Weldon,Richard-Chapman Rogers,Alexander 1047 923 0 0 0
Alberta-(Provisional-District) Davis,Donald-Watson Hardisty,Richard-Charles 1037 235 783 0 0
Algoma Dawson,Simon-James BURK,D.F. 1428 0 0 0 1410
Annapolis Mills,John-Burpee Ray,William-Hallett 1758 1730 0 0 0
Antigonish Thompson,John-Sparrow-David MCGILLIVRAY,Hon.-A. 1247 1207 0 0 0
Argenteuil Wilson,James-Crocket MEIKLE,Robert-G. 1038 828 0 0 0
Assiniboia-East Perley,William-Dell DICKIE,James-Hay 1736 1010 0 0 0
Assiniboia-West Davin,Nicholas-Flood Ross,James-Hamilton 726 423 0 0 0
Bagot Dupont,Flavien None 1 0 0 0 0
Beauce Godbout,Joseph POIRIER,Jos. 1268 0 1900 0 483
Beauharnois Bergeron,Joseph-Gédéon-Horace PELLETIER,Philippe 1210 0 1432 0 0
Bellechasse Amyot,Guillaume Belleau,Isidore-Noël 878 0 0 1515 0
Berthier Beausoleil,Cléophas ROBILLARD,J.B. 1304 1535 0 0 0
Bonaventure Riopel,Louis-Joseph ROY,Geo.-Pierre 1352 994 0 0 0
Bothwell Mills,David MITCHELL,Geo.-M.D. 2161 2182 0 0 0
Brant-North Somerville,James CURRY,J.R. 496 1660 0 0 0
Brant-South Paterson,William Cockshutt,William-Foster 1656 2230 0 0 0
Brockville Wood,John-Fisher Comstock,William-Henry 1823 1534 0 0 0
Brome Fisher,Sydney-Arthur BURNETT,Jas. 1191 1570 0 0 0
Bruce-East Cargill,Henry Wells,Rupert-Mearse 2182 1812 0 0 0
Bruce-North McNeill,Alexander BONNAR,Hector-Alex 1796 1683 0 0 0
Bruce-West Blake,Edward SCOTT,James-Henderson 1099 2184 0 0 0
Cape-Breton McDougall,Hector-Francis--and--McKeen,David MURRAY,Geo.-H. 1883 1703 896 0 606
Cardwell White,Thomas NEWLOVE,James-H. 1531 1128 0 0 0
Cariboo Reid,James FERGUSON,G. 145 105 0 0 0
Carleton Hale,Frederick-Harding VINCE,Donald-McLeod 2362 1243 0 0 0
Carleton Macdonald,John-Alexander STEWART,John-K. 1691 606 0 0 0
Chambly Préfontaine,Joseph-Raymond-Fournier JODOIN,Isaïe-A. 1025 1071 0 0 0
Champlain Montplaisir,Hippolyte TRUDEL,P.O. 1649 1534 0 0 0
Charlevoix Cimon,Simon-Xavier TREMBLAY,J.A. 0 0 903 819 688
Charlotte Gillmor,Arthur-Hill CHIPMAN,J.D. 1811 1892 0 0 0
Chicoutimi--Saguenay Couture,Paul Gagné,Jean-Alfred 1122 0 1209 590 0
Châteauguay Holton,Edward Quinn,Michael-Joseph-Francis 767 1120 0 0 0
St.-John-(City-and-County-of) Skinner,Charles-Nelson--and--Weldon,Charles-Wesley Everett,Charles-Arthur 3840 4136 0 0 3628
St.-John-(City-of-) Ellis,John-Valentine Barker,Frederick-Eustace 2162 2375 0 0 0
Colchester McLelan,Archibald-Woodbury MCLELLAN,S.D. 2446 1819 0 0 0
Compton Pope,John-Henry MUNRO,T.B. 2157 0 0 0 1333
Cornwall-and-Stormont Bergin,Darby MCLENNAN,Donald-B. 2077 1906 0 0 0
Cumberland Tupper,Charles PIPES,W.T. 2788 2120 0 0 206
Deux-Montagnes Daoust,Jean-Baptiste MARCIL,David 1091 1019 0 0 0
Digby Campbell,John Vail,William-Berrian 1459 1364 0 0 0
Dorchester Duchesnay,Henri-Jules-Juchereau Lesage,Charles-Alexander 1089 0 0 1565 0
Drummond--Arthabaska Lavergne,Joseph None 0 1 0 0 0
Dundas Hickey,Charles-Erastus JOHNSTON,Adam 2079 1960 0 0 0
Durham-East Ward,Henry-Alfred FALLIS,John 1667 0 1275 0 0
Durham-West Blake,Edward BLACKSTOCK,G.T. 1731 1847 0 0 0
Elgin-East Wilson,John-Henry ERMATINGER,Charles-Oaks 2690 2744 0 0 0
