FEDUID Riding Liberal Conservative NDP Green Bloc-Quebecois Independent
24070 Saint-Maurice-Champlain 23913 10139 2849 731 16940 241
24071 Salaberry-Suroît 16550 7476 4529 0 29093 0
24072 Shefford 19968 7234 3173 1059 24997 0
24073 Sherbrooke 21830 7490 8107 1670 16848 0
24074 Vaudreuil-Soulanges 30001 10556 6780 1631 14308 0
24075 Terrebonne 17475 6183 3913 847 24270 3864
24076 Trois-Rivières 16637 17053 4680 754 17136 0
24077 Ville-Marie-Le-Sud-Ouest-Île-des-Soeurs 24978 6138 9241 1343 6176 0
24078 Vimy 25316 6829 4731 0 11811 0
35001 Ajax 28279 13237 6988 1254 0 0
35002 Algoma-Manitoulin-Kapuskasing 8888 10885 15895 726 0 0
35003 Aurora-Oak-Ridges-Richmond-Hill 20764 19304 3594 0 0 0
35004 Barrie-Innisfil 15292 25234 8349 0 0 0
35005 Barrie-Springwater-Oro-Medonte 16145 23555 8910 0 0 0
35006 Bay-of-Quinte 22542 25479 9284 1350 0 0
35007 Beaches-East-York 28919 7336 11513 1388 0 166
35008 Brampton-Centre 16189 11026 5932 0 0 824
35009 Brampton-East 22120 11647 6511 0 0 0
35010 Brampton-North 23412 13289 6448 0 0 0
35011 Brampton-South 21120 12596 5894 0 0 0
35012 Brampton-West 25780 13186 6097 0 0 328
35013 Brantford-Brant 18795 26675 12964 1759 0 196
35014 Bruce-Grey-Owen-Sound 14738 28727 7939 1789 0 524
35015 Burlington 31602 25742 7507 1368 0 0
35016 Cambridge 20866 18876 9319 1860 0 0
35017 Chatham-Kent-Leamington 15683 22435 8007 837 0 0
35018 Davenport 19930 4774 19854 1087 0 163
35019 Don-Valley-East 22356 8766 4618 0 0 0
35020 Don-Valley-North 22067 12098 4304 765 0 0
35021 Don-Valley-West 24798 16695 3814 761 0 0
35022 Dufferin-Caledon 19867 31490 6866 2754 0 207
35023 Durham 20267 31423 11865 0 0 300
35024 Eglinton-Lawrence 24051 18082 4543 1490 0 0
35025 Elgin-Middlesex-London 12326 31472 10086 1417 0 0
35026 Essex 10813 28741 22278 865 0 172
35027 Etobicoke-Centre 27635 20108 5804 0 0 0
35028 Etobicoke-Lakeshore 30355 20457 8775 1363 0 0
35029 Etobicoke-North 21201 8866 3708 0 0 316
35030 Flamborough-Glanbrook 21350 24370 9409 1254 0 0
35031 Glengarry-Prescott-Russell 30362 21979 7022 1350 0 314
35032 Guelph 29382 16795 14713 5250 0 0
35033 Haldimand-Norfolk 17224 29664 8320 0 0 0
35034 Haliburton-Kawartha-Lakes-Brock 15645 35418 9730 1696 0 0
35035 Hamilton-Centre 10941 6209 20105 1105 0 99
35036 Hamilton-East-Stoney-Creek 18358 13934 12748 1020 0 0
35037 Hamilton-Mountain 16548 11828 15706 974 0 0
35038 Hamilton-West-Ancaster-Dundas 27845 18162 12432 1661 0 0
35039 Hastings-Lennox-and-Addington 19056 24651 6020 971 0 838
35040 Huron-Bruce 16015 31170 9056 0 0 519
35041 Kanata-Carleton 26394 24373 8822 1709 0 0
35042 Kenora 5190 11103 7801 364 0 0
35043 King-Vaughan 21458 22534 3234 620 0 0
35044 Kingston-and-the-Islands 27724 16019 19775 1673 0 0
35045 Kitchener-Centre 8297 12537 8938 17872 0 0
35046 Kitchener-Conestoga 20025 19448 5948 1842 0 0
35047 Kitchener-South-Hespeler 18596 17649 8079 1710 0 119
35048 Lambton-Kent-Middlesex 12552 29431 11107 1035 0 0
35049 Lanark-Frontenac-Kingston 16617 30761 9828 1664 0 0
35050 Leeds-Grenville-Thousand-Islands-and-Rideau-Lakes 14935 29950 8863 2134 0 0
35051 London-Fanshawe 11882 12486 22336 0 0 0
35052 London-North-Centre 22921 15889 15611 1297 0 0
35053 London-West 25308 22273 16858 0 0 0
35054 Markham-Stouffville 29773 20740 4961 1049 0 0
35055 Markham-Thornhill 23709 10136 3222 813 0 0
