Riding winner loser Conservative Liberal Independent Nationalist-Conservative Unknown
Addington Bell,John-William AYLSWORTH,J.B. 1659 0 0 0 1157
Albert Wallace,John Rogers,Alexander 0 784 0 0 723
Algoma Dawson,Simon-James McDougall,William 1707 1112 0 0 0
Annapolis Ray,William-Hallett FITZRANDOLPH,R.E. 0 1430 0 0 1368
Antigonish McIsaac,Angus WHIDDEN,C.B. 0 1068 0 0 735
Argenteuil Abbott,John-Joseph-Caldwell None 1 0 0 0 0
Bagot Mousseau,Joseph-Alfred None 1 0 0 0 0
Beauce Bolduc,Joseph LEMIEUX,F.X. 2153 0 0 0 889
Beauharnois Bergeron,Joseph-Gédéon-Horace None 1 0 0 0 0
Bellechasse Amyot,Guillaume PACAUD,Ph.-Ol.-alias-Ernest 1186 1044 0 0 0
Berthier Cuthbert,Edward-Octavian SYLVESTRE,Louis 1138 0 0 0 1120
Bonaventure Riopel,Louis-Joseph None 1 0 0 0 0
Bothwell Hawkins,John-Joseph Mills,David 1520 1504 0 0 0
Brant-North Somerville,James CURREY,James-R. 0 1603 0 0 652
Brant-South Paterson,William WATTS,Alfred 0 1473 0 0 1297
Brockville Wood,John-Fisher Comstock,William-Henry 1277 1272 0 0 0
Brome Fisher,Sydney-Arthur BORIGHT,S.N. 0 1399 0 0 1240
Bruce-East Wells,Rupert-Mearse Shaw,Alexander 0 1558 0 0 1497
Bruce-North McNeill,Alexander Gillies,John 1250 0 0 0 1162
Bruce-West Somerville,James SCOTT,Jas.-H. 0 1833 0 0 941
Cape-Breton McDonald,William--and--Dodd,Murray McLeod,William-Mackenzie 1297 1013 0 0 1237
Cardwell White,Thomas MCLAUGHLIN,Jas.-F. 1407 0 0 0 1066
Cariboo Reid,James None 1 0 0 0 0
Carleton Irvine,David LINDSAY,Wm. 0 1812 0 0 1653
Carleton Macdonald,John-Alexander MAY,John 1185 0 0 0 629
Chambly Benoit,Pierre-Basile BERTHIAUME,F.X.N. 822 0 0 0 283
Champlain Montplaisir,Hippolyte TURCOTTE,Hon.-A. 1773 0 0 0 614
Charlevoix Cimon,Simon-Xavier KANE,J.A.J. 954 0 0 0 601
Charlotte Gillmor,Arthur-Hill STEVENSON,B.R. 0 1558 0 0 1244
Chicoutimi--Saguenay Gagné,Jean-Alfred CATELLIER,L.N. 1773 0 0 0 657
Châteauguay Holton,Edward QUINN,F.A. 0 860 0 0 799
St.-John-(City-and-County-of) Burpee,Isaac--and--Weldon,Charles-Wesley Everett,Charles-Arthur 1925 2459 0 0 1864
St.-John-(City-of) Tilley,Samuel-Leonard McLeod,George 1288 0 0 0 1151
Colchester McLelan,Archibald-Woodbury Laurence,Frederick-Andrew 1887 0 0 0 1452
Compton Pope,John-Henry CAIRNS,H.E. 1612 0 0 0 823
Cornwall-and-Stormont Bergin,Darby BETHUNE,James 1819 0 0 0 1370
Cumberland Tupper,Charles None 1 0 0 0 0
Deux-Montagnes Daoust,Jean-Baptiste None 1 0 0 0 0
Digby Vail,William-Berrian Wade,John-Chipman 871 1123 0 0 0
Dorchester Lesage,Charles-Alexander None 1 0 0 0 0
Drummond--Arthabaska Bourbeau,Désiré-Olivier CANNON,L.J. 2421 0 0 0 1811
Dundas Hickey,Charles-Erastus CHAMBERLAIN,T.F. 1719 0 0 0 1630
Durham-East Williams,Arthur-Trefusis-Heneage Ross,Lewis 1638 1257 0 0 0
Durham-West Blake,Edward Bunting,Christopher-William 0 1497 0 0 1379
Elgin-East Wilson,John-Henry Arkell,Thomas 2097 2221 0 0 0
Elgin-West Casey,George-Elliott CLARK,Alex 0 2110 0 0 1305
Essex-North Patterson,James-Colebrooke KILROY,J.A. 1714 0 0 0 1022
Essex-South Wigle,Lewis McGregor,William 1475 0 0 0 1415
Frontenac Kirkpatrick,George-Airey None 1 0 0 0 0
Gaspé Fortin,Pierre None 1 0 0 0 0
Glengarry Macmaster,Donald MCDONALD,D.A. 1499 0 0 0 1276
Gloucester Burns,Kennedy-Francis Turgeon,Onésiphore 1205 540 0 0 564
Grenville-South Benson,William-Thomas MILLAR,James 1187 0 0 0 1039
Grey-East Sproule,Thomas-Simpson Christie,Peter 1934 0 0 0 1520
Grey-North Allen,Benjamin Lane,Samuel-Johnathan 0 1457 0 0 1385
Grey-South Landerkin,George Jackson,George 1689 1765 0 0 0
Guysborough Kirk,John-Angus Ogden,Alfred 628 818 0 0 0
Haldimand Thompson,David MERRITT,Wm.-H. 0 1490 0 0 1364
Halifax Daly,Malachy-Bowes--and--Richey,Matthew-Henry Jones,Alfred-Gilpin 2811 2563 2720 0 0
Halton McCraney,William McKindsey,George-Crawford 0 1822 0 0 1739
Hamilton Kilvert,Francis-Edwin--and--Robertson,Thomas MOORE,Dennis 2666 2612 0 0 2194
Hants Allison,William-Henry CURRY,Wm. 1386 1341 0 0 0
Hastings-East White,John ASHLEY,H. 1386 0 0 0 1333
Hastings-North Bowell,Mackenzie COE,Wm. 1408 0 0 0 1057
Hastings-West Robertson,Alexander Brown,James 1317 0 0 0 1081
Hochelaga Desjardins,Alphonse None 1 0 0 0 0
Huntingdon Scriver,Julius DAVIDSON,C.P. 0 1206 0 0 591
Huron-East Farrow,Thomas Sloan,William 1631 0 0 0 1571
Huron-South McMillan,John SHANNON,W.J. 0 1621 0 0 1024
Huron-West Cameron,Malcolm-Colin Porter,Robert 1707 1736 0 0 0
Iberville Béchard,François None 0 1 0 0 0
Inverness Cameron,Hugh McDonnell,Samuel 1912 1062 0 0 0
Jacques-Cartier Girouard,Désiré Laflamme,Toussaint-Antoine-Rodolphe 994 731 0 0 0
Joliette Guilbault,Édouard McConville,Lewis-Arthur 1215 0 0 0 992
Kamouraska Blondeau,Charles-Bruno BOUCHARD,G. 1107 0 0 0 1089
Kent Girouard,Gilbert-Anselme McInerney,George-Valentine 1412 773 0 0 0
Kent Smyth,Henry SAMSON,Jas. 2223 0 0 0 2066
King's Foster,George-Eulas Domville,James 1536 0 0 0 1465
Kings Woodworth,Douglas-Benjamin Borden,Frederick-William 1707 1357 0 0 0
King's-County McIntyre,Peter-Adolphus--and--Robertson,James-Edwin Macdonald,Augustine-Colin 1941 2124 0 0 1854
Kingston Gunn,Alexander Sullivan,Michael 0 889 0 0 797
L'Assomption Hurteau,Hilaire Gauthier,Joseph 1019 852 0 0 0
